"Data","Targa","Velocita","Limite","Multa"
2024-05-13,"GW600XJ",147,50,500
2024-05-14,"JZ825YF",79,70,36
2024-05-15,"EZ685VN",138,90,370
2024-05-16,"FZ920VN",49,130,0
2024-05-17,"PB067ZO",63,110,0
2024-05-18,"XO542AU",59,130,0
2024-05-19,"UN424AD",58,50,36
2024-05-20,"WR831CV",79,90,0
2024-05-21,"KL503LD",97,90,36
2024-05-22,"DP610ZL",53,70,0
2024-05-23,"LZ724JF",117,90,148
2024-05-24,"NL054GN",133,50,500
2024-05-25,"SR583WA",137,90,370
2024-05-26,"YM069XJ",58,50,36
2024-05-27,"GP038BU",135,110,148
2024-05-28,"VO891AM",68,70,0
2024-05-29,"ZU780RE",147,110,148
2024-05-30,"IP483UR",134,110,148
2024-05-31,"GA733CV",102,110,0
2024-06-01,"BF746ZF",41,90,0
2024-06-02,"PN289VN",62,130,0
2024-06-03,"MV738EW",56,70,0
2024-06-04,"SZ132CQ",97,110,0
2024-06-05,"XX845MN",82,130,0
2024-06-06,"TL332UJ",90,110,0
2024-06-07,"OK997OZ",123,50,500
2024-06-08,"GG418GD",145,90,370
2024-06-09,"DB989KE",107,50,370
2024-06-10,"AE790SH",78,110,0
2024-06-11,"HQ691QJ",120,70,370
2024-06-12,"TQ923NG",137,50,500
2024-06-13,"YR824LW",59,110,0
2024-06-14,"PS640YE",124,90,148
2024-06-15,"XV857TU",63,70,0
2024-06-16,"VN461SE",46,130,0
2024-06-17,"KB258RK",43,70,0
2024-06-18,"PJ784DM",136,110,148
2024-06-19,"TZ818NF",50,50,0
2024-06-20,"HI957IN",73,130,0
2024-06-21,"CP189AZ",70,50,148
2024-06-22,"DA610QZ",77,90,0
2024-06-23,"TM985YY",120,110,36
2024-06-24,"LG278JP",60,130,0
2024-06-25,"VA665FO",118,110,36
2024-06-26,"QL692MX",137,50,500
2024-06-27,"JQ547GJ",84,50,148
2024-06-28,"TX435CT",117,50,500
2024-06-29,"KG380IV",64,90,0
2024-06-30,"YX898JL",144,70,500
2024-07-01,"WD801WB",63,110,0
2024-07-02,"HS268KT",89,70,148
2024-07-03,"NC410GW",100,70,148
2024-07-04,"UW933BP",79,90,0
2024-07-05,"MX352YK",110,70,148
2024-07-06,"BZ760UD",108,110,0
2024-07-07,"KG723MT",132,110,148
2024-07-08,"MG637EN",43,50,0
2024-07-09,"NI226AW",115,110,36
2024-07-10,"FH952FD",43,50,0
2024-07-11,"YR059UV",48,90,0
2024-07-12,"HU106BZ",58,130,0
2024-07-13,"LF870IB",139,130,36
2024-07-14,"ZZ834BG",120,110,36
2024-07-15,"DA461PA",65,90,0
2024-07-16,"MM264CX",60,50,36
2024-07-17,"NF411CT",74,70,36
2024-07-18,"UJ012VF",51,90,0
2024-07-19,"PM933FB",77,90,0
2024-07-20,"WD564IT",59,110,0
2024-07-21,"AU205AR",87,110,0
2024-07-22,"HD436HV",47,110,0
2024-07-23,"HT037BX",144,110,148
2024-07-24,"JO015BT",55,130,0
2024-07-25,"YX002AX",58,130,0
2024-07-26,"HZ886YS",94,130,0
2024-07-27,"RA954CE",76,90,0
2024-07-28,"UE142RH",118,90,148
2024-07-29,"IQ115UZ",145,90,370
2024-07-30,"GY725KS",113,70,370
2024-07-31,"GB094NK",79,130,0
2024-08-01,"ZF375KH",110,130,0
2024-08-02,"JT779CM",72,70,36
2024-08-03,"XE245IQ",101,70,148
2024-08-04,"VQ225KH",108,130,0
2024-08-05,"WR856WV",68,110,0
2024-08-06,"ZX187OU",49,90,0
2024-08-07,"KS671WH",142,70,500
2024-08-08,"AM828AD",79,90,0
2024-08-09,"YY108FD",88,130,0
2024-08-10,"SN457SP",122,130,0
2024-08-11,"JD060HK",109,50,370
2024-08-12,"UW416HJ",131,70,500
2024-08-13,"VB360BN",121,70,370
2024-08-14,"MZ568WO",144,130,148
2024-08-15,"KK584IR",51,50,36
2024-08-16,"KL230YI",59,70,0
2024-08-17,"YF273DO",92,70,148
2024-08-18,"TA437EY",134,130,36
2024-08-19,"ZE287OG",75,50,148
2024-08-20,"GN299DY",115,50,500
2024-08-21,"YH376QX",139,110,148
2024-08-22,"WV180HF",141,130,148
2024-08-23,"ZQ501NZ",93,50,370
2024-08-24,"TQ052CY",73,90,0
2024-08-25,"XE097FY",106,50,370
2024-08-26,"YD650IJ",85,130,0
2024-08-27,"IH531DG",134,50,500
2024-08-28,"IO755LQ",44,70,0
2024-08-29,"EE067VN",57,70,0
2024-08-30,"WD054AR",130,90,148
2024-08-31,"NS972WQ",127,110,148
2024-09-01,"NN794VJ",63,130,0
2024-09-02,"FA193KV",123,130,0
2024-09-03,"AS465QO",137,50,500
2024-09-04,"ZY919QG",54,70,0
2024-09-05,"JO811VC",60,130,0
2024-09-06,"QW404OQ",120,110,36
2024-09-07,"ZR564TA",66,50,148
2024-09-08,"QV494SJ",105,90,148
2024-09-09,"ZP812YU",135,90,370
2024-09-10,"UN321HI",89,90,0
2024-09-11,"GR449TG",117,90,148
2024-09-12,"UQ368HM",140,90,370
2024-09-13,"ZI161QE",66,110,0
2024-09-14,"IO871VC",97,110,0
2024-09-15,"TK570EU",124,50,500
2024-09-16,"FW861QQ",116,50,500
2024-09-17,"RY843JM",61,50,148
2024-09-18,"QP885MD",86,130,0
2024-09-19,"EW697YB",43,50,0
2024-09-20,"YV109AH",111,110,36
2024-09-21,"TK266RX",132,90,370
2024-09-22,"CM641KK",53,70,0
2024-09-23,"YT433TU",63,70,0
2024-09-24,"NS957BT",64,70,0
2024-09-25,"AX788QH",70,130,0
2024-09-26,"BH481ZZ",114,110,36
2024-09-27,"DN778AZ",98,110,0
2024-09-28,"JA578KD",63,50,148
2024-09-29,"AA216CX",122,70,370
2024-09-30,"EI760IV",66,110,0
2024-10-01,"UQ846FK",124,90,148
2024-10-02,"YJ856WM",58,130,0
2024-10-03,"HX488OG",43,50,0
2024-10-04,"WO010AD",52,130,0
2024-10-05,"YF033VY",140,90,370
2024-10-06,"UN235GW",145,70,500
2024-10-07,"MY839RD",112,110,36
2024-10-08,"RW131PG",78,70,36
2024-10-09,"JK709NN",149,110,148
2024-10-10,"FH637PX",105,90,148
2024-10-11,"GR952GT",141,90,370
2024-10-12,"IP901QH",41,50,0
2024-10-13,"PI218FV",124,130,0
2024-10-14,"QF890VG",90,70,148
2024-10-15,"UP820FV",69,70,0
2024-10-16,"MX371XK",119,70,370
2024-10-17,"UW033GR",85,70,148
2024-10-18,"HI801QS",52,90,0
2024-10-19,"UX200SD",121,130,0
2024-10-20,"GD827FY",85,130,0
2024-10-21,"TL196HK",134,70,500
2024-10-22,"RK859BA",85,50,148
2024-10-23,"QB959DF",80,90,0
2024-10-24,"AE493EL",128,110,148
2024-10-25,"BI282UN",124,70,370
2024-10-26,"QG877GX",124,50,500
2024-10-27,"BR521DT",133,110,148
2024-10-28,"MI597AN",121,110,148
2024-10-29,"XM470VV",84,70,148
2024-10-30,"QA397IE",76,130,0
2024-10-31,"CB733FP",104,110,0
2024-11-01,"RS177JU",91,110,0
2024-11-02,"BZ986YE",76,130,0
2024-11-03,"EG050ZG",80,130,0
2024-11-04,"LR455YK",83,110,0
2024-11-05,"YD935UM",130,70,370
2024-11-06,"MJ934FG",123,130,0
2024-11-07,"JI944OQ",134,110,148
2024-11-08,"FC514SD",90,70,148
2024-11-09,"JX871ND",50,50,0
2024-11-10,"JG185HD",61,130,0
2024-11-11,"FY321KW",56,50,36
2024-11-12,"PV353WG",113,110,36
2024-11-13,"PR058MW",135,110,148
2024-11-14,"CG740CK",110,90,148
2024-11-15,"DN165YM",49,70,0
2024-11-16,"CF470QR",95,50,370
2024-11-17,"WS049IO",97,50,370
2024-11-18,"CN607NS",150,130,148
2024-11-19,"PP484QB",69,110,0
2024-11-20,"BB083WN",147,110,148
2024-11-21,"OV485JM",109,70,148
2024-11-22,"WK638FZ",106,70,148
2024-11-23,"CL599YE",142,110,148
2024-11-24,"IQ428QZ",105,90,148
2024-11-25,"GM754DD",136,70,500
2024-11-26,"IE813VS",88,70,148
2024-11-27,"DG254NV",100,70,148
2024-11-28,"BP836NJ",42,50,0
2024-11-29,"VY094LI",70,70,0
2024-11-30,"ZT578GQ",84,90,0
2024-12-01,"LJ669GD",82,110,0
2024-12-02,"IN478NP",67,110,0
2024-12-03,"KA116SJ",117,50,500
2024-12-04,"GH558ID",117,130,0
2024-12-05,"MF883EI",111,50,500
2024-12-06,"EI864YD",67,130,0
2024-12-07,"KA729QI",137,70,500
2024-12-08,"AH779PW",66,110,0
2024-12-09,"SS666IF",54,110,0
2024-12-10,"LN424LG",50,90,0
2024-12-11,"BJ756EE",130,90,148
2024-12-12,"UL037EO",53,50,36
2024-12-13,"QE682FF",57,70,0
2024-12-14,"LJ418XH",114,90,148
2024-12-15,"CN628NA",115,110,36
2024-12-16,"YQ633YA",45,90,0
2024-12-17,"RL267ZI",141,130,148
2024-12-18,"OQ864GI",117,50,500
2024-12-19,"VE470BM",96,130,0
2024-12-20,"CJ766TZ",118,70,370
2024-12-21,"SJ535AA",50,70,0
2024-12-22,"YW043QU",141,70,500
2024-12-23,"RI052KJ",107,110,0
2024-12-24,"QT922FW",77,50,148
2024-12-25,"FK246VN",45,130,0
2024-12-26,"JO342KE",140,50,500
2024-12-27,"HS365GX",134,130,36
2024-12-28,"JD663WZ",103,70,148
2024-12-29,"ZQ949NY",148,110,148
2024-12-30,"MW001QJ",104,110,0
2024-12-31,"TH841CQ",74,110,0
2025-01-01,"FI656KM",80,70,36
2025-01-02,"TW790IB",105,130,0
2025-01-03,"TS618TA",127,70,370
2025-01-04,"IG594UW",148,110,148
2025-01-05,"PU815WU",99,130,0
2025-01-06,"HU881YB",150,50,500
2025-01-07,"GT639IE",41,90,0
2025-01-08,"JT498GR",85,90,0
2025-01-09,"QF441UG",142,130,148
2025-01-10,"RZ748EL",127,70,370
2025-01-11,"HR956UE",148,70,500
2025-01-12,"SH954EW",133,70,500
2025-01-13,"JL420AR",50,50,0
2025-01-14,"WJ689EC",78,130,0
2025-01-15,"KF042II",84,90,0
2025-01-16,"QU529SL",112,50,500
2025-01-17,"LF311TR",83,90,0
2025-01-18,"BM204GF",145,70,500
2025-01-19,"SU957KO",61,70,0
2025-01-20,"MH179RH",90,110,0
2025-01-21,"MQ045EA",47,110,0
2025-01-22,"SZ521ZM",111,90,148
2025-01-23,"VH743EF",82,70,148
2025-01-24,"JL173ZE",57,50,36
2025-01-25,"PL065ZP",48,110,0
2025-01-26,"EX260UB",115,70,370
2025-01-27,"DP841DZ",142,70,500
2025-01-28,"RP914NX",148,70,500
2025-01-29,"AW821VV",48,130,0
2025-01-30,"PA083HG",89,130,0
2025-01-31,"QW218GJ",68,70,0
2025-02-01,"LN337TM",133,130,36
2025-02-02,"UP696EN",94,50,370
2025-02-03,"BJ115ZR",50,130,0
2025-02-04,"RO945DQ",142,90,370
2025-02-05,"LX339LP",75,90,0
2025-02-06,"OG734VX",61,90,0
2025-02-07,"SC813SZ",93,90,36
2025-02-08,"UD142PC",59,50,36
2025-02-09,"FO345QN",56,110,0
2025-02-10,"PM559GQ",83,110,0
2025-02-11,"ZN669NI",73,110,0
2025-02-12,"OS671JZ",133,50,500
2025-02-13,"SN237AC",124,70,370
2025-02-14,"CA921MA",57,130,0
2025-02-15,"NF176UH",128,110,148
2025-02-16,"AQ487UM",97,110,0
2025-02-17,"XX617CZ",63,50,148
2025-02-18,"AC663PT",63,50,148
2025-02-19,"PC509GN",53,70,0
2025-02-20,"KA128FE",92,130,0
2025-02-21,"DQ607EH",135,110,148
2025-02-22,"XR249ET",97,110,0
2025-02-23,"LI457TP",126,50,500
2025-02-24,"MN579YH",98,90,36
2025-02-25,"JO485JM",123,130,0
2025-02-26,"JP624LF",137,70,500
2025-02-27,"XM924GS",132,50,500
2025-02-28,"GY124FL",113,110,36
2025-03-01,"RQ601HR",66,130,0
2025-03-02,"QI792EG",41,90,0
2025-03-03,"TI853WR",91,90,36
2025-03-04,"IH119NZ",106,130,0
2025-03-05,"UH274JV",75,130,0
2025-03-06,"KP094BO",50,50,0
2025-03-07,"LS519AU",75,130,0
2025-03-08,"HL837ZG",119,130,0
2025-03-09,"RR677NE",52,110,0
2025-03-10,"ER596VE",127,70,370
2025-03-11,"RR237DT",94,110,0
2025-03-12,"FV415HN",132,110,148
2025-03-13,"JO576RS",124,90,148
2025-03-14,"ZY536ZL",45,110,0
2025-03-15,"IL795ED",112,70,370
2025-03-16,"KK466OU",84,130,0
2025-03-17,"WA019RQ",140,130,36
2025-03-18,"FH760ZW",135,50,500
2025-03-19,"LZ278RZ",100,50,370
2025-03-20,"SR068JK",94,110,0
2025-03-21,"XC055NR",147,70,500
2025-03-22,"WQ480LW",142,70,500
2025-03-23,"DG085HU",90,70,148
2025-03-24,"XO505XR",144,50,500
2025-03-25,"CU946PC",97,110,0
2025-03-26,"NZ880CB",129,70,370
2025-03-27,"HM677AC",136,110,148
2025-03-28,"FU832NM",127,70,370
2025-03-29,"DG545HJ",75,70,36
2025-03-30,"WI962IF",81,130,0
2025-03-31,"JU556YN",78,130,0
2025-04-01,"PR333XI",119,90,148
2025-04-02,"XY750HB",113,70,370
2025-04-03,"PX357QF",119,70,370
2025-04-04,"TZ964SG",147,50,500
2025-04-05,"JK877NS",86,110,0
2025-04-06,"YP741DC",53,130,0
2025-04-07,"FZ921XC",69,70,0
2025-04-08,"SA131IZ",52,50,36
2025-04-09,"DZ572PG",45,90,0
2025-04-10,"IK698JO",52,110,0
2025-04-11,"YD368HW",65,90,0
2025-04-12,"DL198HA",120,90,148
2025-04-13,"OG942NI",56,50,36
2025-04-14,"TL749HF",90,70,148
2025-04-15,"VF044ZB",45,130,0
2025-04-16,"UT596ER",89,110,0
2025-04-17,"QD820KA",54,70,0
2025-04-18,"XA550UT",119,70,370
2025-04-19,"GF020LL",80,90,0
2025-04-20,"OU232YL",88,130,0
2025-04-21,"EA848HM",71,70,36
2025-04-22,"NX437AE",124,130,0
2025-04-23,"VX921UH",130,70,370
2025-04-24,"OE974FD",131,70,500
2025-04-25,"OA311JM",133,70,500
2025-04-26,"PM041PO",110,130,0
2025-04-27,"SD127RE",51,130,0
2025-04-28,"HG167OT",86,50,148
2025-04-29,"ZT996YK",80,50,148
2025-04-30,"EN777VL",84,90,0
2025-05-01,"GH717YO",115,90,148
2025-05-02,"TZ634ND",112,70,370
2025-05-03,"PN246XA",138,130,36
2025-05-04,"PJ608QT",92,90,36
2025-05-05,"IH161OR",67,130,0
2025-05-06,"KD068SF",93,130,0
2025-05-07,"KS686CV",109,50,370
2025-05-08,"SB517FR",129,110,148
2025-05-09,"JW743OZ",78,70,36
2025-05-10,"WI332YP",113,50,500
2025-05-11,"BA166VU",60,130,0
2025-05-12,"YQ084VD",76,50,148
2025-05-13,"FL001ER",106,90,148
2025-05-14,"TP378UE",108,70,148
2025-05-15,"NS763UJ",133,130,36
2025-05-16,"NI409TA",129,130,0
2025-05-17,"FY690TY",61,50,148
2025-05-18,"RH085BV",130,50,500
2025-05-19,"BP972IH",111,70,370
2025-05-20,"XP784ZG",89,130,0
2025-05-21,"HP076MH",135,50,500
2025-05-22,"KK125ZV",107,130,0
2025-05-23,"UW653RB",52,90,0
2025-05-24,"YT168AC",59,70,0
2025-05-25,"GE370DY",115,130,0
2025-05-26,"SD546QA",48,70,0
2025-05-27,"WJ732OU",68,130,0
2025-05-28,"HO684FI",143,110,148
2025-05-29,"JC358OO",44,50,0
2025-05-30,"EF237LT",107,90,148
2025-05-31,"QT369ZB",125,130,0
2025-06-01,"WK314DB",120,130,0
2025-06-02,"FJ561HT",113,70,370
2025-06-03,"HY433KX",113,110,36
2025-06-04,"TF965HR",57,90,0
2025-06-05,"FL014NR",141,70,500
2025-06-06,"OS307SJ",88,110,0
2025-06-07,"QN538HR",109,70,148
2025-06-08,"CN291EN",95,90,36
2025-06-09,"ON674BD",141,90,370
2025-06-10,"TS084FK",56,130,0
2025-06-11,"AY169EH",143,50,500
2025-06-12,"EO723ZH",129,110,148
2025-06-13,"KT031GM",86,130,0
2025-06-14,"OP221ZA",63,50,148
2025-06-15,"TU027SE",61,50,148
2025-06-16,"BI566FI",130,130,0
2025-06-17,"PK081SZ",111,50,500
2025-06-18,"WX369KR",136,90,370
2025-06-19,"SX253TP",100,90,36
2025-06-20,"JY875LH",44,70,0
2025-06-21,"SE729AT",140,90,370
2025-06-22,"QG507HZ",103,90,148
2025-06-23,"GU671QI",125,130,0
2025-06-24,"FR418VO",65,50,148
2025-06-25,"LZ689PE",127,70,370
2025-06-26,"DC474RI",129,90,148
2025-06-27,"UB060PF",109,70,148
2025-06-28,"WZ137YQ",123,70,370
2025-06-29,"SY079WS",110,130,0
2025-06-30,"BG831TA",111,50,500
2025-07-01,"XW056YO",41,130,0
2025-07-02,"DH848NX",47,90,0
2025-07-03,"VK813HZ",79,70,36
2025-07-04,"ZJ182GC",139,130,36
2025-07-05,"WJ785OG",94,90,36
2025-07-06,"KD531NR",87,70,148
2025-07-07,"VU310AK",88,90,0
2025-07-08,"AG605MY",133,50,500
2025-07-09,"VA509TB",64,50,148
2025-07-10,"XU328MD",82,110,0
2025-07-11,"SO981GP",141,90,370
2025-07-12,"RZ211JH",91,110,0
2025-07-13,"PM115KQ",40,50,0
2025-07-14,"CE583OA",57,130,0
2025-07-15,"AO056QB",131,110,148
2025-07-16,"BY929DA",47,70,0
2025-07-17,"BA260QP",75,130,0
2025-07-18,"HE730MU",58,90,0
2025-07-19,"ZC074NI",95,70,148
2025-07-20,"TM482PH",125,90,148
2025-07-21,"NS233FL",60,50,36
2025-07-22,"YP796DT",60,90,0
2025-07-23,"MK124FD",111,90,148
2025-07-24,"GQ574EH",102,130,0
2025-07-25,"HN729VC",59,90,0
2025-07-26,"CX443QG",122,90,148
2025-07-27,"VE426QV",44,50,0
2025-07-28,"PQ884WZ",44,130,0
2025-07-29,"VW611KW",119,130,0
2025-07-30,"XC941SE",50,90,0
2025-07-31,"AP932PV",132,50,500
2025-08-01,"LI051FK",55,110,0
2025-08-02,"RW291TU",150,110,148
2025-08-03,"UL805IV",55,110,0
2025-08-04,"NI232NS",72,130,0
2025-08-05,"HV318VD",138,110,148
2025-08-06,"XC257JX",114,130,0
2025-08-07,"WU894UZ",77,130,0
2025-08-08,"EL386CD",137,130,36
2025-08-09,"QI086UB",139,70,500
2025-08-10,"ZU953WI",147,70,500
2025-08-11,"YQ671ZW",51,50,36
2025-08-12,"YU284PP",73,70,36
2025-08-13,"KF073KN",44,50,0
2025-08-14,"WI915CR",65,50,148
2025-08-15,"ZX112QW",113,50,500
2025-08-16,"DZ240YF",134,50,500
2025-08-17,"MA505SU",126,130,0
2025-08-18,"HK722PV",50,50,0
2025-08-19,"OW256FW",47,130,0
2025-08-20,"DU045KL",67,70,0
2025-08-21,"MT925JK",63,70,0
2025-08-22,"CC594WS",98,130,0
2025-08-23,"GV690DS",146,50,500
2025-08-24,"AG134NF",80,50,148
2025-08-25,"FV117LH",72,70,36
2025-08-26,"MF862BN",120,130,0
2025-08-27,"ZO970CJ",106,110,0
2025-08-28,"ZE064MV",120,130,0
2025-08-29,"QT424UM",81,90,0
2025-08-30,"WX361MW",76,50,148
2025-08-31,"UR666HN",41,110,0
2025-09-01,"FL809TG",55,70,0
2025-09-02,"JY522DJ",89,70,148
2025-09-03,"MP786IM",130,90,148
2025-09-04,"FW144BJ",44,50,0
2025-09-05,"IR043LR",87,90,0
2025-09-06,"HG215LQ",71,130,0
2025-09-07,"AJ882RI",94,50,370
2025-09-08,"PF528GS",116,50,500
2025-09-09,"VM761ZR",105,70,148
2025-09-10,"BP272JT",78,70,36
2025-09-11,"HX318OU",41,110,0
2025-09-12,"NF405GY",122,50,500
2025-09-13,"LI324LM",141,130,148
2025-09-14,"ZI934HT",112,70,370
2025-09-15,"HY597QU",102,130,0
2025-09-16,"IU898LG",67,50,148
2025-09-17,"HF984GP",131,130,36
2025-09-18,"YG126ZQ",138,70,500
2025-09-19,"IP726OS",60,50,36
2025-09-20,"TH537XL",81,50,148
2025-09-21,"AO560UA",93,70,148
2025-09-22,"CY402JG",63,90,0
2025-09-23,"HU736SJ",103,70,148
2025-09-24,"BB528CO",64,50,148
2025-09-25,"AX371PO",45,130,0
2025-09-26,"IY269WD",137,130,36
2025-09-27,"WR861KF",115,70,370
2025-09-28,"GK216HX",134,90,370
2025-09-29,"MK000KC",103,130,0
2025-09-30,"TX723AL",97,110,0
2025-10-01,"NX617NX",135,50,500
2025-10-02,"PJ191GU",113,70,370
2025-10-03,"GE075MP",85,70,148
2025-10-04,"DJ671DJ",108,90,148
2025-10-05,"MQ513SX",135,90,370
2025-10-06,"LW010OO",50,130,0
2025-10-07,"YT669SJ",100,90,36
2025-10-08,"MW173EP",139,50,500
2025-10-09,"TE437JM",117,50,500
2025-10-10,"JV853XN",147,110,148
2025-10-11,"IW048AN",100,70,148
2025-10-12,"LA749AF",90,90,0
2025-10-13,"HS093UW",60,70,0
2025-10-14,"GD734OP",46,50,0
2025-10-15,"YR571QE",125,110,148
2025-10-16,"OQ839DC",100,110,0
2025-10-17,"SH793IQ",63,130,0
2025-10-18,"QD021WF",121,50,500
2025-10-19,"KW205UI",108,130,0
2025-10-20,"GU113VO",122,50,500
2025-10-21,"SU324TS",94,130,0
2025-10-22,"WJ771WW",130,90,148
2025-10-23,"ZP355NR",134,90,370
2025-10-24,"CH768AI",131,50,500
2025-10-25,"FN965HC",105,110,0
2025-10-26,"GP861XR",118,50,500
2025-10-27,"DV654UJ",138,90,370
2025-10-28,"JY265QB",127,110,148
2025-10-29,"QE193BQ",88,70,148
2025-10-30,"PP402FT",68,50,148
2025-10-31,"HY461UV",121,70,370
2025-11-01,"UK391VE",108,90,148
2025-11-02,"CO492BT",77,90,0
2025-11-03,"LK517BH",98,50,370
2025-11-04,"UT399CN",91,90,36
2025-11-05,"NN632IB",116,90,148
2025-11-06,"EI737AW",145,110,148
2025-11-07,"NW068VS",105,70,148
2025-11-08,"FD917CP",134,110,148
2025-11-09,"IC328GA",125,90,148
2025-11-10,"AA582RM",94,90,36
2025-11-11,"TW627TR",147,70,500
2025-11-12,"NT717SB",116,110,36
2025-11-13,"SF769OO",52,90,0
2025-11-14,"EU103EA",107,90,148
2025-11-15,"BY037PT",40,70,0
2025-11-16,"AL234HC",103,110,0
2025-11-17,"TE239OC",65,110,0
