"","CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Credit_Limit","Contacts_Count_12_mon","Total_Trans_Amt","Total_Trans_Ct"
"72",720096558,"Existing Customer",55,"F","Graduate","Married","Less than $40K","Blue",42,2216,3,1540,36
"73",719580033,"Existing Customer",54,"M","Graduate","Unknown","$60K - $80K","Blue",43,2910,3,1256,21
"74",820582308,"Existing Customer",42,"M","Uneducated","Married","$80K - $120K","Blue",37,22913,2,1394,35
"75",789973308,"Existing Customer",44,"M","College","Single","$60K - $80K","Blue",35,24312,3,1341,24
"76",712876233,"Existing Customer",53,"M","Graduate","Single","$80K - $120K","Blue",36,5272,2,1289,33
"77",804595158,"Existing Customer",44,"F","Graduate","Single","Less than $40K","Blue",36,7000,2,1112,23
"78",714826758,"Existing Customer",37,"F","Uneducated","Single","Less than $40K","Blue",29,7038,2,2339,57
"79",779058108,"Existing Customer",49,"M","Graduate","Divorced","$60K - $80K","Blue",30,2536,2,1468,23
"80",710790258,"Existing Customer",47,"M","Graduate","Married","$80K - $120K","Blue",38,28904,2,1334,35
"81",715623483,"Existing Customer",47,"M","Graduate","Married","$60K - $80K","Blue",37,8567,0,1457,41
"82",715156383,"Existing Customer",44,"M","Unknown","Unknown","$120K +","Blue",36,34516,2,1603,29
"83",711013983,"Attrited Customer",55,"F","Unknown","Married","$40K - $60K","Blue",45,2158,3,615,12
"84",755420433,"Existing Customer",59,"F","Graduate","Married","Unknown","Blue",52,10133,3,1068,20
"85",794543958,"Existing Customer",53,"M","Graduate","Divorced","$80K - $120K","Blue",35,34516,2,1590,27
"86",716396358,"Existing Customer",52,"M","Graduate","Married","$60K - $80K","Blue",47,3085,0,1531,35
"87",715398033,"Existing Customer",53,"M","High School","Single","$120K +","Blue",35,19040,1,1212,31
"88",711743883,"Existing Customer",43,"F","Uneducated","Single","Less than $40K","Blue",35,4026,3,1237,32
"89",719720058,"Existing Customer",44,"M","High School","Single","$60K - $80K","Blue",31,12756,1,1413,14
"90",778992108,"Existing Customer",57,"M","Unknown","Married","$120K +","Blue",45,5266,3,1516,29
"91",717539808,"Existing Customer",51,"F","High School","Single","Less than $40K","Blue",36,9930,2,1276,21
"92",714070758,"Existing Customer",49,"M","High School","Single","$80K - $120K","Blue",38,31302,0,1564,35
"93",714107958,"Existing Customer",45,"M","Graduate","Single","$40K - $60K","Blue",36,6576,3,1465,34
"94",789140283,"Existing Customer",53,"M","Graduate","Single","$80K - $120K","Blue",42,2664,1,1286,29
"95",715550508,"Existing Customer",45,"F","Unknown","Married","Unknown","Blue",28,2535,2,1312,20
"96",719712633,"Existing Customer",64,"M","Graduate","Married","Less than $40K","Blue",52,1709,3,1673,32
"97",772629333,"Existing Customer",45,"M","Graduate","Married","$40K - $60K","Blue",35,3454,2,1313,30
"98",720336708,"Existing Customer",53,"M","Doctorate","Married","$40K - $60K","Blue",35,3789,2,1609,42
"99",802013583,"Existing Customer",56,"M","College","Married","$120K +","Blue",50,9689,0,1158,19
"100",711887583,"Attrited Customer",47,"M","Unknown","Married","$80K - $120K","Blue",37,5449,3,836,18
"101",714778833,"Existing Customer",49,"F","College","Single","Unknown","Blue",43,23032,0,1289,22
"102",713843283,"Existing Customer",41,"F","Unknown","Married","Unknown","Silver",34,34516,3,1487,26
"103",779155158,"Existing Customer",53,"M","Graduate","Married","$120K +","Blue",34,2940,2,1259,33
"104",721091583,"Existing Customer",44,"F","Graduate","Single","Less than $40K","Blue",32,3031,3,1298,15
"105",713572683,"Existing Customer",44,"M","High School","Unknown","$60K - $80K","Blue",25,1862,0,1226,34
"106",716657058,"Existing Customer",43,"F","Post-Graduate","Married","Less than $40K","Blue",33,8358,3,1566,37
"107",779509983,"Existing Customer",53,"M","Post-Graduate","Single","$120K +","Blue",36,34516,2,1022,21
"108",717929133,"Existing Customer",44,"M","Uneducated","Married","$60K - $80K","Blue",36,14450,3,1235,30
"109",808284783,"Existing Customer",62,"F","Unknown","Married","Less than $40K","Blue",56,1438.3,0,1951,44
"110",708476808,"Existing Customer",54,"M","Unknown","Divorced","$120K +","Blue",36,33791,2,1047,31
"111",710916408,"Existing Customer",57,"M","Graduate","Married","$60K - $80K","Blue",39,8466,0,1342,32
"112",708492558,"Existing Customer",42,"M","Unknown","Married","$60K - $80K","Blue",36,15088,3,1107,21
"113",799825758,"Existing Customer",42,"M","High School","Divorced","$60K - $80K","Blue",36,3263,2,1251,35
"114",718619883,"Existing Customer",54,"F","Uneducated","Married","Less than $40K","Blue",36,1494,2,1305,24
"115",711844758,"Existing Customer",48,"M","Graduate","Single","$80K - $120K","Blue",35,13551,0,1388,37
"116",714798783,"Existing Customer",49,"M","Graduate","Single","$80K - $120K","Blue",36,18886,2,1235,18
"117",826762908,"Existing Customer",52,"M","High School","Unknown","$80K - $120K","Blue",48,11976,0,2089,36
"118",771894558,"Existing Customer",50,"M","High School","Single","$80K - $120K","Blue",39,9964,4,1626,25
"119",721074183,"Existing Customer",49,"M","Doctorate","Married","$60K - $80K","Blue",36,24159,3,1111,24
"120",715259583,"Existing Customer",53,"F","High School","Married","Less than $40K","Blue",44,5362,3,1553,38
"121",718414008,"Existing Customer",50,"M","Graduate","Single","$120K +","Blue",36,34516,2,1064,13
"122",719666283,"Existing Customer",55,"F","Doctorate","Married","Less than $40K","Blue",36,3174,0,1243,29
"123",714877233,"Existing Customer",53,"M","High School","Married","$80K - $120K","Blue",47,12262,2,1659,38
"124",785387883,"Existing Customer",47,"F","High School","Single","$40K - $60K","Blue",41,3788,3,1594,47
"125",771075258,"Existing Customer",55,"M","College","Single","$120K +","Silver",42,34516,2,1268,42
"126",711318033,"Existing Customer",47,"M","Graduate","Single","$60K - $80K","Blue",36,2926,2,1304,24
"127",783554958,"Existing Customer",58,"M","Graduate","Single","$120K +","Blue",52,32090,0,1368,30
"128",720201033,"Attrited Customer",53,"M","Graduate","Married","$80K - $120K","Blue",41,11669,2,720,23
"129",718039683,"Existing Customer",52,"M","High School","Single","$40K - $60K","Blue",45,13532,2,1521,29
"130",710806083,"Existing Customer",50,"F","Uneducated","Unknown","Less than $40K","Silver",36,11888,2,1137,30
"131",714752208,"Existing Customer",42,"F","Graduate","Married","Less than $40K","Blue",36,2393,2,978,16
"132",822063408,"Existing Customer",43,"M","Unknown","Married","$40K - $60K","Blue",39,6111,2,1221,16
"133",714490308,"Existing Customer",57,"M","Graduate","Married","$80K - $120K","Blue",46,19270,3,1565,28
"134",713356833,"Existing Customer",52,"M","Graduate","Married","$80K - $120K","Blue",43,3710,4,1578,34
"135",711402333,"Existing Customer",47,"M","Doctorate","Single","Less than $40K","Blue",37,3235,3,1493,32
"136",708296883,"Existing Customer",44,"F","Graduate","Single","$40K - $60K","Blue",38,11749,0,1178,27
"137",719154483,"Existing Customer",53,"M","High School","Divorced","$60K - $80K","Blue",36,7753,2,991,26
"138",717721458,"Existing Customer",45,"M","College","Divorced","$60K - $80K","Blue",40,10408,0,2560,42
"139",711112683,"Existing Customer",63,"F","College","Married","Unknown","Blue",36,3967,3,1657,29
"140",715674483,"Existing Customer",39,"F","Post-Graduate","Single","Less than $40K","Blue",27,6205,2,1204,19
"141",789322833,"Attrited Customer",48,"F","High School","Married","Less than $40K","Blue",38,8025,3,673,18
"142",789968058,"Existing Customer",51,"M","Unknown","Single","$120K +","Blue",42,9036,3,1131,18
"143",709919283,"Existing Customer",54,"M","Graduate","Married","$80K - $120K","Blue",34,14926,2,1576,25
"144",718744008,"Existing Customer",59,"F","Graduate","Single","Less than $40K","Blue",36,6335,3,1217,20
"145",767712558,"Attrited Customer",59,"M","College","Single","$60K - $80K","Blue",53,14979,3,530,10
"146",712950783,"Attrited Customer",48,"F","Uneducated","Married","Less than $40K","Blue",38,2732,3,739,16
"147",716104983,"Existing Customer",41,"F","Graduate","Single","Less than $40K","Blue",32,2250,2,1617,31
"148",818839983,"Existing Customer",55,"M","Graduate","Married","$120K +","Blue",50,10916,0,1592,34
"149",772288758,"Existing Customer",47,"F","Graduate","Married","Unknown","Blue",36,5349,3,1343,30
"150",712350858,"Existing Customer",41,"M","High School","Married","$80K - $120K","Blue",24,9366,3,1303,39
"151",711009708,"Existing Customer",40,"M","High School","Single","$80K - $120K","Blue",28,21617,0,1351,22
"152",712720158,"Existing Customer",68,"M","Graduate","Married","Unknown","Blue",56,13860,3,1910,32
"153",712215258,"Existing Customer",50,"F","Graduate","Single","$40K - $60K","Silver",31,18386,3,1298,22
"154",773827008,"Existing Customer",47,"M","Uneducated","Single","$60K - $80K","Blue",41,2405,2,1087,29
"155",795232683,"Existing Customer",53,"F","College","Married","Less than $40K","Blue",47,2154,3,1439,26
"156",713786508,"Existing Customer",42,"F","Unknown","Married","$40K - $60K","Blue",36,2038,3,1238,28
"157",713539833,"Existing Customer",48,"F","High School","Single","$40K - $60K","Blue",38,8135,3,1716,29
"158",712454058,"Existing Customer",49,"M","Doctorate","Married","$120K +","Blue",38,9364,3,1099,27
"159",718759833,"Existing Customer",44,"F","Uneducated","Married","Unknown","Silver",35,32643,2,1058,24
"160",718803333,"Existing Customer",43,"F","Graduate","Divorced","Less than $40K","Blue",34,3195,1,1285,29
"161",720253908,"Existing Customer",56,"M","High School","Married","$80K - $120K","Blue",43,2852,1,1651,28
"162",714133158,"Existing Customer",59,"F","College","Single","Unknown","Blue",36,4224,3,1152,31
"163",713187033,"Existing Customer",46,"M","Uneducated","Married","$60K - $80K","Blue",36,20459,2,1767,38
"164",714791208,"Existing Customer",47,"F","Unknown","Divorced","Less than $40K","Blue",41,3482,3,1039,24
"165",772426383,"Existing Customer",50,"F","Uneducated","Married","$40K - $60K","Blue",40,3065,3,1130,28
"166",710975883,"Existing Customer",51,"F","Uneducated","Married","Less than $40K","Blue",43,2185,2,1645,30
"167",714264408,"Existing Customer",47,"F","Uneducated","Married","Less than $40K","Blue",36,1611,0,1413,29
"168",715827858,"Existing Customer",58,"F","Uneducated","Married","Less than $40K","Blue",47,2822,3,1218,23
"169",713741358,"Attrited Customer",46,"M","Graduate","Single","$80K - $120K","Blue",33,32975,3,597,17
"170",709531908,"Existing Customer",53,"M","High School","Married","$60K - $80K","Blue",47,1438.3,2,2184,53
"171",716493408,"Existing Customer",45,"F","Uneducated","Divorced","Unknown","Blue",36,15875,3,1592,37
"172",714141108,"Existing Customer",52,"F","High School","Married","Less than $40K","Blue",45,6703,3,1388,28
"173",708953883,"Attrited Customer",53,"M","Unknown","Married","$80K - $120K","Blue",36,3212,1,757,20
"174",712608783,"Existing Customer",50,"M","High School","Married","$80K - $120K","Silver",45,34516,3,1504,34
"175",820353558,"Existing Customer",41,"F","High School","Married","$40K - $60K","Blue",36,9797,2,1503,34
"176",714964758,"Existing Customer",45,"F","Graduate","Divorced","$40K - $60K","Blue",36,10400,2,1105,28
"177",716264358,"Existing Customer",53,"M","Uneducated","Married","$80K - $120K","Blue",42,26792,2,2398,47
"178",717296808,"Existing Customer",67,"F","Graduate","Married","Less than $40K","Blue",56,3006,2,1661,32
"179",712977183,"Existing Customer",57,"F","Uneducated","Single","$40K - $60K","Silver",36,19482,0,1421,22
"180",710829108,"Existing Customer",59,"F","Uneducated","Married","$40K - $60K","Blue",36,3356,3,999,28
"181",779562633,"Existing Customer",45,"M","Uneducated","Married","$40K - $60K","Blue",34,5771,1,1387,18
"182",715315833,"Existing Customer",51,"M","Graduate","Married","$80K - $120K","Blue",36,11106,3,1243,24
"183",815500983,"Existing Customer",59,"F","Uneducated","Married","Less than $40K","Blue",54,2890,0,1860,36
"184",719360583,"Existing Customer",53,"M","Graduate","Married","$60K - $80K","Blue",45,3380,2,1502,25
"185",709701558,"Existing Customer",47,"M","Graduate","Married","$60K - $80K","Blue",36,21331,2,1460,50
"186",721148358,"Existing Customer",49,"F","Uneducated","Single","Unknown","Blue",38,12860,1,1348,27
"187",779862408,"Existing Customer",49,"M","Post-Graduate","Single","$80K - $120K","Blue",33,6278,0,1087,33
"188",812627208,"Existing Customer",60,"F","College","Single","Less than $40K","Blue",55,1438.3,3,1226,33
"189",711033408,"Existing Customer",50,"F","High School","Married","Less than $40K","Blue",36,9355,2,1230,28
"190",779956608,"Existing Customer",41,"F","Post-Graduate","Married","Unknown","Blue",31,20758,3,1555,32
"191",780376683,"Existing Customer",57,"M","Graduate","Married","$80K - $120K","Blue",47,14612,1,1827,24
"192",717912483,"Existing Customer",43,"M","Graduate","Unknown","$80K - $120K","Blue",27,27259,0,1376,35
"193",714454758,"Existing Customer",57,"F","Graduate","Married","Less than $40K","Blue",47,6347,3,1771,37
"194",780466533,"Existing Customer",54,"M","Doctorate","Married","$120K +","Blue",41,21592,0,1873,52
"195",715735233,"Existing Customer",51,"F","Post-Graduate","Married","Less than $40K","Blue",44,3449,1,1679,42
"196",720476733,"Existing Customer",47,"F","High School","Married","Less than $40K","Blue",34,6028,2,1002,22
"197",715872333,"Existing Customer",41,"M","High School","Unknown","$120K +","Blue",36,18214,3,1344,21
"198",712375758,"Existing Customer",53,"M","Uneducated","Married","$80K - $120K","Blue",43,16393,1,1461,42
"199",708868233,"Attrited Customer",68,"M","High School","Married","Less than $40K","Blue",52,1438.3,2,760,21
"200",718030083,"Existing Customer",59,"M","College","Married","$60K - $80K","Blue",36,7871,2,1428,22
"201",720707283,"Existing Customer",48,"M","Unknown","Married","$80K - $120K","Blue",36,5288,0,1777,42
"202",771698658,"Existing Customer",44,"M","Graduate","Married","$60K - $80K","Blue",32,11376,3,1302,27
"203",748326258,"Existing Customer",48,"M","College","Married","$80K - $120K","Blue",41,12302,3,1483,41
"204",770817783,"Existing Customer",47,"M","Graduate","Married","$60K - $80K","Silver",33,34516,1,1060,27
"205",779353083,"Existing Customer",47,"M","Graduate","Married","$60K - $80K","Silver",32,34516,2,1330,32
"206",711441333,"Existing Customer",43,"F","High School","Divorced","Less than $40K","Silver",35,10514,2,1229,27
"207",719808558,"Attrited Customer",55,"F","Graduate","Married","Less than $40K","Blue",43,1438.3,3,886,27
"208",711551958,"Attrited Customer",59,"M","Post-Graduate","Married","$60K - $80K","Blue",46,1438.3,3,844,24
"209",809164083,"Existing Customer",63,"M","Graduate","Married","$40K - $60K","Blue",56,2619,2,1450,37
"210",820596183,"Existing Customer",58,"M","College","Married","$120K +","Blue",53,24407,0,2311,48
"211",715999608,"Existing Customer",53,"F","High School","Married","Less than $40K","Blue",36,2377,2,1378,26
"212",710565408,"Existing Customer",59,"M","Unknown","Unknown","$80K - $120K","Silver",40,34516,3,1033,26
"213",805543158,"Existing Customer",52,"M","Graduate","Married","$120K +","Blue",47,11086,3,1523,40
"214",709752183,"Existing Customer",48,"M","High School","Single","$60K - $80K","Blue",36,11432,2,1374,37
"215",716479233,"Existing Customer",43,"M","High School","Married","$40K - $60K","Blue",36,13258,2,1080,21
"216",713837058,"Existing Customer",48,"M","College","Single","Less than $40K","Blue",36,2571,3,1234,24
"217",718876683,"Existing Customer",43,"F","Graduate","Single","Less than $40K","Blue",31,5781,0,1600,32
"218",770746908,"Existing Customer",44,"M","Unknown","Married","$60K - $80K","Blue",30,7872,2,1155,32
"219",794843883,"Existing Customer",41,"M","High School","Married","$80K - $120K","Blue",35,34516,2,1353,33
"220",803043933,"Existing Customer",44,"F","Uneducated","Divorced","Less than $40K","Silver",38,11127,3,1546,25
"221",758076408,"Existing Customer",50,"M","Unknown","Single","$40K - $60K","Blue",43,1857,3,1590,43
"222",714606558,"Existing Customer",60,"F","Uneducated","Married","Less than $40K","Blue",36,1913,0,1448,22
"223",778425408,"Existing Customer",44,"M","Graduate","Single","$80K - $120K","Blue",24,3839,0,1271,24
"224",714171108,"Existing Customer",48,"F","Graduate","Divorced","$40K - $60K","Blue",39,2115,3,1223,20
"225",719662458,"Existing Customer",44,"F","Graduate","Divorced","Less than $40K","Blue",27,1438.3,2,1117,29
"226",713137233,"Existing Customer",41,"M","High School","Single","$80K - $120K","Blue",28,27756,0,994,24
"227",769425858,"Existing Customer",45,"M","College","Single","$60K - $80K","Blue",32,1438.3,2,1468,26
"228",711297483,"Existing Customer",47,"F","Uneducated","Divorced","Less than $40K","Silver",34,13878,2,1658,38
"229",788900883,"Existing Customer",51,"F","Graduate","Married","Less than $40K","Blue",36,3106,3,1368,38
"230",758348808,"Existing Customer",51,"M","Graduate","Married","$120K +","Blue",44,34516,3,1218,18
"231",772336458,"Attrited Customer",60,"F","Uneducated","Married","$40K - $60K","Blue",50,1438.3,3,702,12
"232",708711483,"Existing Customer",57,"M","Unknown","Married","$80K - $120K","Blue",46,18871,0,1516,21
"233",717906783,"Existing Customer",41,"M","Graduate","Single","$120K +","Blue",29,5207,2,1310,26
"234",719437908,"Existing Customer",44,"M","Post-Graduate","Divorced","$80K - $120K","Blue",36,17965,2,1767,50
"235",769433508,"Existing Customer",43,"M","College","Single","$60K - $80K","Blue",37,2733,3,933,25
"236",790096533,"Existing Customer",55,"M","College","Married","$60K - $80K","Blue",48,8863,2,1512,27
"237",720997383,"Attrited Customer",52,"M","Uneducated","Married","$80K - $120K","Blue",36,1857,3,829,17
"238",787541883,"Existing Customer",44,"M","Graduate","Unknown","$80K - $120K","Blue",33,34516,3,1120,27
"239",709930758,"Existing Customer",41,"M","Uneducated","Married","$40K - $60K","Blue",30,11107,3,1506,33
"240",789830058,"Existing Customer",44,"M","Unknown","Single","$80K - $120K","Blue",34,21573,2,1384,36
"241",710299608,"Attrited Customer",53,"F","Unknown","Married","Less than $40K","Blue",33,2859,3,817,30
"242",710741208,"Existing Customer",39,"M","High School","Single","$80K - $120K","Blue",36,5269,2,2094,25
"243",821797008,"Attrited Customer",49,"M","College","Married","$40K - $60K","Blue",45,1438.3,3,815,21
"244",708874533,"Attrited Customer",45,"F","College","Married","Less than $40K","Blue",36,3387,2,510,24
"245",715341858,"Existing Customer",54,"M","Graduate","Married","$80K - $120K","Blue",46,1982,3,1377,49
"246",793636308,"Existing Customer",49,"M","Uneducated","Single","$80K - $120K","Blue",43,4645,2,1193,33
"247",713779908,"Existing Customer",46,"F","Doctorate","Single","Unknown","Blue",36,2189,2,1287,36
"248",712125258,"Attrited Customer",46,"M","High School","Married","$120K +","Blue",30,2442,3,701,19
"249",709703433,"Existing Customer",47,"M","Graduate","Married","$60K - $80K","Blue",38,21304,2,1770,25
"250",721022433,"Existing Customer",44,"M","Doctorate","Single","$60K - $80K","Blue",36,7577,2,1409,35
"251",710103558,"Existing Customer",50,"M","Post-Graduate","Single","$120K +","Blue",31,3234,2,1354,28
"252",715952883,"Existing Customer",73,"M","High School","Married","$40K - $60K","Blue",36,4469,2,1765,34
"253",719731458,"Existing Customer",56,"M","Unknown","Unknown","$40K - $60K","Blue",46,2910,4,1192,27
"254",772390908,"Attrited Customer",59,"M","High School","Single","$40K - $60K","Blue",48,3616,3,687,17
"255",787348608,"Existing Customer",70,"M","High School","Married","Less than $40K","Blue",56,3252,3,1227,15
"256",709485033,"Existing Customer",55,"F","High School","Married","Less than $40K","Blue",36,2358,3,1737,26
"257",715432608,"Existing Customer",43,"M","Unknown","Single","$60K - $80K","Blue",36,22322,0,1348,34
"258",799471833,"Existing Customer",45,"M","Uneducated","Single","$120K +","Blue",39,3133,2,1435,38
"259",714187533,"Existing Customer",45,"F","Uneducated","Single","$40K - $60K","Blue",35,3540,0,1321,28
"260",779656908,"Existing Customer",40,"M","Graduate","Married","$40K - $60K","Blue",23,6990,2,1479,29
"261",788950158,"Existing Customer",36,"M","College","Unknown","$80K - $120K","Blue",22,34516,3,1283,39
"262",778867533,"Attrited Customer",59,"F","Post-Graduate","Married","$40K - $60K","Blue",40,1438.3,1,689,23
"263",710620383,"Existing Customer",43,"M","Unknown","Married","$60K - $80K","Blue",35,24396,2,965,17
"264",778661358,"Existing Customer",46,"F","Unknown","Married","Less than $40K","Blue",36,2474,2,1541,40
"265",789483333,"Existing Customer",41,"M","Uneducated","Married","$40K - $60K","Blue",32,5214,3,1258,23
"266",809855808,"Existing Customer",51,"F","Graduate","Married","Less than $40K","Blue",46,5207,2,1339,20
"267",718464258,"Existing Customer",51,"F","Unknown","Unknown","Less than $40K","Blue",25,9512,2,1007,22
"268",708528483,"Existing Customer",43,"F","Graduate","Divorced","Unknown","Blue",23,3187,2,1387,33
"269",771809733,"Attrited Customer",64,"F","High School","Married","$40K - $60K","Blue",53,3353,3,960,18
