"id_spedizione","modalita_spedizione","valutazione_cliente","costo_prodotto","acquisti_precedenti","importanza_prodotto","genere","sconto_offerto","peso_grammi","consegna_puntuale"
86,"Nave",4,197,3,"media","Maschio",13,2148,"Si"
87,"Nave",1,185,2,"bassa","Maschio",44,2910,"Si"
88,"Nave",2,278,3,"media","Femmina",3,2974,"Si"
89,"Nave",3,229,3,"bassa","Maschio",49,2339,"Si"
90,"Nave",1,186,4,"media","Femmina",57,3880,"Si"
91,"Nave",3,174,6,"alta","Femmina",41,1085,"Si"
92,"Nave",5,286,3,"bassa","Femmina",18,3163,"Si"
93,"Nave",4,175,2,"media","Femmina",7,1188,"Si"
94,"Nave",3,219,3,"media","Femmina",17,3387,"Si"
95,"Nave",1,213,4,"alta","Femmina",35,2343,"Si"
96,"Nave",3,235,3,"bassa","Maschio",57,2034,"Si"
97,"Nave",3,149,2,"media","Maschio",18,1225,"Si"
98,"Nave",1,271,2,"media","Femmina",8,2401,"Si"
99,"Nave",5,144,4,"media","Maschio",5,1104,"Si"
100,"Nave",2,145,2,"media","Maschio",21,1617,"Si"
101,"Nave",3,143,2,"media","Maschio",59,1837,"Si"
102,"Nave",5,227,4,"bassa","Maschio",53,2624,"Si"
103,"Nave",1,213,3,"bassa","Maschio",29,2732,"Si"
104,"Nave",1,144,4,"bassa","Maschio",37,1658,"Si"
105,"Nave",3,218,3,"bassa","Maschio",3,2255,"Si"
106,"Nave",2,144,3,"media","Maschio",59,1588,"Si"
107,"Nave",1,238,3,"bassa","Maschio",17,2624,"Si"
108,"Nave",5,216,3,"alta","Maschio",26,2053,"Si"
109,"Nave",5,238,3,"alta","Femmina",55,3257,"Si"
110,"Nave",1,141,3,"media","Maschio",47,1250,"Si"
111,"Strada",1,158,2,"bassa","Maschio",2,1284,"Si"
112,"Strada",2,239,3,"bassa","Femmina",65,3679,"Si"
113,"Strada",3,175,2,"bassa","Maschio",25,1816,"Si"
114,"Strada",2,263,3,"bassa","Maschio",41,2817,"Si"
115,"Strada",5,168,2,"alta","Maschio",50,1616,"Si"
116,"Strada",4,176,3,"alta","Maschio",36,1779,"Si"
117,"Strada",1,150,4,"alta","Maschio",60,1024,"Si"
118,"Strada",3,265,2,"media","Femmina",31,2326,"Si"
119,"Strada",5,263,3,"bassa","Femmina",5,2947,"Si"
120,"Strada",1,145,3,"bassa","Maschio",20,1387,"Si"
121,"Strada",2,183,3,"bassa","Femmina",33,2741,"Si"
122,"Strada",3,205,3,"media","Femmina",19,2167,"Si"
123,"Strada",2,160,3,"bassa","Maschio",64,1714,"Si"
124,"Strada",3,252,2,"media","Femmina",48,2102,"Si"
125,"Strada",5,222,3,"bassa","Maschio",10,2280,"Si"
126,"Strada",3,203,2,"bassa","Maschio",25,3607,"Si"
127,"Strada",5,220,3,"media","Maschio",40,3516,"Si"
128,"Strada",3,147,4,"bassa","Femmina",60,1722,"Si"
129,"Strada",4,200,4,"media","Maschio",16,2060,"Si"
130,"Strada",5,224,4,"media","Maschio",21,2026,"Si"
131,"Strada",5,179,2,"bassa","Femmina",17,1364,"Si"
132,"Strada",4,144,3,"bassa","Maschio",50,1865,"Si"
133,"Aereo",2,247,3,"bassa","Maschio",17,3889,"Si"
134,"Aereo",4,280,6,"media","Femmina",51,3582,"Si"
135,"Aereo",3,168,2,"media","Femmina",1,1829,"Si"
136,"Aereo",5,157,3,"media","Femmina",4,1889,"Si"
137,"Aereo",3,189,4,"media","Femmina",51,2208,"Si"
138,"Aereo",5,162,2,"media","Maschio",7,1739,"Si"
139,"Aereo",1,207,5,"bassa","Maschio",48,2399,"Si"
140,"Aereo",1,237,2,"bassa","Femmina",10,3860,"Si"
141,"Aereo",4,264,3,"alta","Maschio",59,2020,"Si"
142,"Aereo",4,149,3,"bassa","Maschio",51,1645,"Si"
143,"Aereo",5,162,3,"bassa","Maschio",41,1462,"Si"
144,"Aereo",1,205,4,"media","Femmina",63,2156,"Si"
145,"Aereo",1,158,3,"media","Femmina",51,1540,"Si"
146,"Aereo",2,248,2,"bassa","Maschio",46,3707,"Si"
147,"Aereo",5,191,3,"bassa","Maschio",23,3750,"Si"
148,"Aereo",3,146,4,"media","Femmina",24,1844,"Si"
149,"Aereo",3,135,3,"bassa","Maschio",56,1490,"Si"
150,"Aereo",1,149,3,"bassa","Maschio",40,1062,"Si"
151,"Aereo",4,220,2,"media","Femmina",7,2551,"Si"
152,"Aereo",3,98,5,"media","Maschio",44,1269,"Si"
153,"Aereo",4,97,4,"bassa","Maschio",32,1238,"Si"
154,"Aereo",3,183,2,"bassa","Maschio",53,3932,"Si"
155,"Nave",3,162,3,"media","Femmina",8,1869,"Si"
156,"Nave",1,114,4,"bassa","Femmina",47,1443,"Si"
157,"Nave",3,275,5,"bassa","Maschio",41,2491,"Si"
158,"Nave",2,203,2,"media","Femmina",39,3845,"Si"
159,"Nave",5,205,2,"alta","Maschio",65,3671,"Si"
160,"Nave",3,149,3,"bassa","Femmina",63,1946,"Si"
161,"Nave",2,112,4,"media","Maschio",56,1138,"Si"
162,"Nave",1,207,3,"media","Femmina",56,3482,"Si"
163,"Nave",1,261,4,"bassa","Femmina",58,3427,"Si"
164,"Nave",2,274,3,"media","Maschio",6,3375,"Si"
165,"Nave",5,141,2,"bassa","Maschio",52,1692,"Si"
166,"Nave",3,166,4,"media","Femmina",17,1498,"Si"
167,"Nave",2,141,3,"alta","Femmina",34,1020,"Si"
168,"Nave",5,152,3,"bassa","Maschio",43,1709,"Si"
169,"Nave",2,250,3,"bassa","Femmina",53,2478,"Si"
170,"Nave",3,161,3,"media","Femmina",28,1809,"Si"
171,"Nave",3,185,3,"media","Femmina",10,2263,"Si"
172,"Nave",4,176,4,"alta","Femmina",52,1096,"Si"
173,"Nave",4,148,3,"bassa","Maschio",56,1550,"Si"
174,"Nave",2,270,3,"bassa","Femmina",63,2751,"Si"
175,"Nave",3,242,3,"bassa","Femmina",51,3935,"Si"
176,"Nave",4,150,2,"media","Maschio",3,1285,"Si"
177,"Nave",5,192,3,"alta","Maschio",20,3872,"Si"
178,"Nave",5,116,3,"media","Maschio",54,1314,"Si"
179,"Nave",3,192,3,"media","Femmina",2,3995,"Si"
180,"Nave",5,255,4,"media","Maschio",3,3440,"Si"
181,"Nave",1,161,7,"media","Femmina",18,1294,"Si"
182,"Nave",5,157,3,"bassa","Maschio",20,1487,"Si"
183,"Nave",2,164,10,"alta","Femmina",28,1940,"Si"
184,"Nave",5,162,7,"media","Femmina",16,1052,"Si"
185,"Nave",3,146,2,"bassa","Maschio",50,1486,"Si"
186,"Nave",2,209,3,"media","Maschio",54,3001,"Si"
187,"Nave",4,134,2,"media","Femmina",55,1386,"Si"
188,"Nave",1,222,2,"media","Maschio",5,3778,"Si"
189,"Nave",5,139,3,"bassa","Femmina",27,1233,"Si"
190,"Nave",4,134,3,"bassa","Femmina",42,1415,"Si"
191,"Nave",5,130,3,"bassa","Maschio",16,1092,"Si"
192,"Nave",5,133,3,"bassa","Femmina",62,1596,"Si"
193,"Nave",4,140,3,"bassa","Femmina",7,1411,"Si"
194,"Nave",2,158,3,"bassa","Maschio",28,1968,"Si"
195,"Nave",2,270,4,"bassa","Femmina",46,1736,"Si"
196,"Nave",5,140,3,"bassa","Femmina",30,1030,"Si"
197,"Nave",2,135,3,"bassa","Maschio",15,1339,"Si"
198,"Nave",3,136,3,"bassa","Femmina",19,1568,"Si"
199,"Nave",3,142,3,"media","Femmina",38,7640,"Si"
200,"Nave",2,154,3,"media","Maschio",38,7846,"Si"
201,"Nave",3,139,3,"bassa","Maschio",9,1471,"Si"
202,"Nave",3,160,3,"bassa","Femmina",43,1251,"Si"
203,"Nave",4,134,3,"bassa","Maschio",58,1067,"Si"
204,"Nave",3,161,5,"alta","Maschio",48,1883,"Si"
205,"Nave",5,155,3,"bassa","Maschio",23,1602,"Si"
206,"Nave",3,145,3,"media","Femmina",24,7588,"Si"
207,"Nave",2,157,3,"bassa","Maschio",1,1477,"Si"
208,"Nave",2,160,3,"bassa","Maschio",48,1691,"Si"
209,"Nave",4,152,3,"bassa","Maschio",55,1498,"Si"
210,"Nave",5,148,3,"alta","Femmina",11,1502,"Si"
211,"Nave",1,127,3,"bassa","Femmina",15,1522,"Si"
212,"Nave",5,154,3,"bassa","Femmina",21,1113,"Si"
213,"Nave",5,127,3,"bassa","Maschio",44,1341,"Si"
214,"Nave",5,160,3,"media","Femmina",31,7401,"Si"
215,"Nave",4,129,3,"bassa","Femmina",48,1219,"Si"
216,"Nave",5,158,3,"bassa","Femmina",40,1722,"Si"
217,"Nave",3,185,3,"media","Maschio",3,3131,"Si"
218,"Nave",4,176,4,"alta","Femmina",63,1293,"Si"
219,"Nave",4,148,3,"bassa","Maschio",37,1523,"Si"
220,"Nave",5,270,3,"bassa","Maschio",60,3885,"Si"
221,"Nave",4,242,3,"bassa","Maschio",29,2381,"Si"
222,"Nave",3,150,2,"media","Maschio",31,1588,"Si"
223,"Nave",2,192,3,"alta","Maschio",4,2061,"Si"
224,"Nave",5,116,3,"media","Femmina",9,1314,"Si"
225,"Nave",4,192,3,"media","Femmina",31,3331,"Si"
226,"Nave",4,255,4,"media","Femmina",38,2771,"Si"
227,"Nave",3,161,7,"media","Maschio",63,1496,"Si"
228,"Nave",2,157,3,"bassa","Femmina",48,1393,"Si"
229,"Nave",2,164,10,"alta","Maschio",14,1375,"Si"
230,"Nave",3,162,7,"media","Femmina",42,1278,"Si"
231,"Nave",1,146,2,"bassa","Femmina",54,1528,"Si"
232,"Nave",4,209,3,"media","Femmina",60,2240,"Si"
233,"Nave",5,134,2,"media","Maschio",53,1088,"Si"
234,"Nave",1,222,2,"media","Maschio",58,3626,"Si"
235,"Nave",1,139,3,"bassa","Femmina",39,1582,"Si"
236,"Nave",2,134,3,"bassa","Maschio",38,1352,"Si"
237,"Nave",3,130,3,"bassa","Femmina",48,1801,"Si"
238,"Nave",2,133,3,"bassa","Maschio",5,1268,"Si"
239,"Nave",3,140,3,"bassa","Femmina",23,1372,"Si"
240,"Nave",3,158,3,"bassa","Maschio",10,1515,"Si"
241,"Nave",5,270,4,"bassa","Maschio",65,1818,"Si"
242,"Nave",4,140,3,"bassa","Femmina",33,1278,"Si"
243,"Nave",2,135,3,"bassa","Maschio",58,1734,"Si"
244,"Nave",4,136,3,"bassa","Maschio",43,1958,"Si"
245,"Nave",1,142,3,"media","Femmina",8,6064,"Si"
246,"Nave",4,154,3,"media","Femmina",48,7684,"Si"
247,"Nave",3,139,3,"bassa","Femmina",3,1788,"Si"
248,"Strada",4,160,3,"bassa","Femmina",50,1030,"Si"
249,"Strada",2,134,3,"bassa","Femmina",38,1530,"Si"
250,"Strada",5,161,5,"alta","Femmina",54,1511,"Si"
251,"Strada",3,155,3,"bassa","Femmina",45,1639,"Si"
252,"Strada",2,145,3,"media","Femmina",5,6102,"Si"
253,"Strada",1,157,3,"bassa","Maschio",58,1930,"Si"
254,"Strada",5,160,3,"bassa","Femmina",19,1399,"Si"
255,"Strada",2,152,3,"bassa","Femmina",61,1800,"Si"
256,"Strada",2,148,3,"alta","Femmina",35,1349,"Si"
257,"Strada",2,127,3,"bassa","Maschio",13,1128,"Si"
258,"Strada",2,129,3,"media","Femmina",22,6614,"Si"
259,"Strada",3,158,3,"bassa","Femmina",13,1245,"Si"
260,"Strada",4,147,3,"bassa","Maschio",5,1920,"Si"
261,"Strada",5,159,3,"bassa","Femmina",49,1621,"Si"
262,"Strada",3,151,3,"bassa","Femmina",23,1930,"Si"
263,"Strada",1,294,4,"bassa","Femmina",52,1089,"Si"
264,"Strada",2,226,2,"media","Maschio",45,1446,"Si"
265,"Strada",3,271,5,"alta","Maschio",9,1813,"Si"
266,"Strada",2,203,5,"media","Femmina",61,1856,"Si"
267,"Strada",3,264,4,"bassa","Femmina",10,1648,"Si"
268,"Strada",1,258,3,"media","Maschio",36,2211,"Si"
269,"Strada",5,241,3,"bassa","Femmina",21,3078,"Si"
270,"Aereo",5,208,3,"media","Maschio",23,2056,"Si"
271,"Aereo",2,209,5,"media","Femmina",12,3054,"Si"
272,"Aereo",1,182,2,"media","Femmina",23,2707,"Si"
273,"Aereo",5,148,2,"media","Femmina",43,1087,"Si"
274,"Aereo",3,183,2,"media","Femmina",52,3199,"Si"
275,"Aereo",5,229,6,"media","Maschio",22,2717,"Si"
276,"Aereo",5,115,5,"bassa","Femmina",26,1692,"Si"
277,"Aereo",2,136,3,"bassa","Femmina",65,1962,"Si"
278,"Aereo",4,212,3,"bassa","Maschio",21,3307,"Si"
279,"Aereo",3,171,3,"bassa","Femmina",24,1304,"Si"
280,"Aereo",1,151,2,"bassa","Maschio",60,1925,"Si"
281,"Aereo",1,205,3,"media","Maschio",39,3062,"Si"
282,"Aereo",4,147,3,"media","Maschio",23,1132,"Si"
283,"Aereo",3,155,3,"bassa","Femmina",29,1712,"Si"
284,"Aereo",4,165,3,"bassa","Femmina",20,1150,"Si"
285,"Aereo",5,230,3,"bassa","Femmina",32,3249,"Si"
286,"Aereo",4,181,4,"media","Maschio",13,2309,"Si"
287,"Aereo",3,234,2,"bassa","Femmina",55,3308,"Si"
288,"Aereo",4,149,3,"bassa","Maschio",34,1977,"Si"
289,"Aereo",5,156,2,"bassa","Maschio",44,1561,"Si"
290,"Aereo",2,172,3,"media","Femmina",59,1858,"Si"
291,"Aereo",4,270,3,"bassa","Maschio",12,3279,"Si"
292,"Nave",1,206,3,"media","Maschio",23,3807,"Si"
293,"Nave",3,211,4,"media","Maschio",40,3106,"Si"
294,"Nave",2,136,4,"bassa","Maschio",62,1090,"Si"
295,"Nave",1,186,2,"alta","Femmina",52,3981,"Si"
296,"Nave",1,202,2,"media","Maschio",62,3398,"Si"
297,"Nave",2,183,3,"media","Femmina",12,3646,"Si"
298,"Nave",4,232,2,"bassa","Maschio",36,2861,"Si"
299,"Nave",2,147,4,"media","Maschio",52,1129,"Si"
300,"Nave",3,136,3,"media","Maschio",20,1531,"Si"
301,"Nave",3,127,3,"bassa","Femmina",43,1446,"Si"
302,"Nave",5,202,2,"media","Maschio",35,3695,"Si"
303,"Nave",4,241,2,"bassa","Maschio",57,3671,"Si"
304,"Nave",3,222,2,"media","Maschio",55,3833,"Si"
305,"Nave",2,183,4,"media","Femmina",12,2777,"Si"
306,"Nave",4,249,3,"media","Femmina",36,3769,"Si"
307,"Nave",1,243,4,"alta","Maschio",59,3838,"Si"
308,"Nave",3,163,3,"media","Maschio",9,1257,"Si"
309,"Nave",2,165,2,"alta","Maschio",11,1596,"Si"
310,"Nave",5,266,3,"media","Femmina",53,3089,"Si"
311,"Nave",4,193,2,"media","Maschio",48,3909,"Si"
312,"Nave",2,154,3,"bassa","Femmina",56,1136,"Si"
313,"Nave",3,140,3,"media","Maschio",51,1046,"Si"
314,"Nave",3,272,3,"media","Maschio",38,3705,"Si"
315,"Nave",2,143,6,"media","Maschio",20,1654,"Si"
316,"Nave",2,138,3,"bassa","Femmina",30,1805,"Si"
317,"Nave",2,238,2,"alta","Maschio",17,3358,"Si"
318,"Nave",5,273,4,"media","Femmina",31,2373,"Si"
319,"Nave",1,200,2,"media","Maschio",27,2551,"Si"
320,"Nave",5,213,4,"bassa","Maschio",39,2381,"Si"
321,"Nave",4,224,2,"media","Femmina",15,2701,"Si"
322,"Nave",5,141,3,"media","Maschio",12,1672,"Si"
323,"Nave",3,150,3,"bassa","Maschio",46,1040,"Si"
324,"Nave",1,192,2,"bassa","Maschio",33,2818,"Si"
325,"Nave",1,279,4,"media","Femmina",24,3440,"Si"
326,"Nave",4,246,3,"media","Maschio",30,3748,"Si"
327,"Nave",4,173,3,"media","Maschio",52,1587,"Si"
328,"Nave",4,233,4,"media","Femmina",59,2358,"Si"
329,"Nave",1,274,2,"media","Maschio",24,2423,"Si"
330,"Nave",5,243,4,"media","Femmina",41,2782,"Si"
331,"Nave",4,197,3,"media","Femmina",56,3427,"Si"
332,"Nave",3,140,3,"alta","Femmina",46,1072,"Si"
333,"Nave",5,215,3,"media","Femmina",22,2585,"Si"
334,"Nave",4,211,3,"media","Maschio",8,3710,"Si"
335,"Nave",2,220,5,"bassa","Maschio",33,2854,"Si"
336,"Nave",1,194,4,"bassa","Maschio",64,2026,"Si"
337,"Nave",1,262,3,"media","Femmina",58,3599,"Si"
338,"Nave",4,201,2,"bassa","Femmina",1,3147,"Si"
339,"Nave",5,261,3,"media","Maschio",15,2989,"Si"
340,"Nave",4,191,6,"bassa","Femmina",60,3425,"Si"
341,"Nave",5,255,5,"media","Femmina",53,3775,"Si"
342,"Nave",2,169,2,"alta","Maschio",30,1698,"Si"
343,"Nave",5,162,2,"media","Maschio",64,1918,"Si"
344,"Nave",5,248,6,"bassa","Femmina",62,2750,"Si"
345,"Nave",3,197,4,"bassa","Femmina",2,2222,"Si"
346,"Nave",1,264,3,"bassa","Maschio",6,2882,"Si"
347,"Nave",5,260,2,"media","Femmina",55,2791,"Si"
348,"Nave",3,186,2,"media","Femmina",58,2259,"Si"
349,"Nave",5,233,4,"bassa","Femmina",44,2551,"Si"
350,"Nave",1,161,3,"bassa","Maschio",47,1954,"Si"
351,"Nave",5,188,3,"bassa","Femmina",13,2409,"Si"
352,"Nave",5,171,2,"media","Femmina",22,1695,"Si"
353,"Nave",2,267,3,"media","Maschio",15,2481,"Si"
354,"Nave",3,255,2,"alta","Maschio",47,2956,"Si"
355,"Nave",2,132,3,"bassa","Femmina",56,1303,"Si"
356,"Nave",1,266,3,"bassa","Femmina",31,3157,"Si"
357,"Nave",4,198,2,"bassa","Maschio",25,2774,"Si"
358,"Nave",3,247,2,"media","Femmina",62,3127,"Si"
359,"Nave",1,140,3,"media","Femmina",65,1291,"Si"
360,"Nave",3,131,5,"bassa","Maschio",6,1659,"Si"
361,"Nave",2,246,3,"media","Maschio",49,3236,"Si"
362,"Nave",2,159,3,"media","Femmina",4,1681,"Si"
363,"Nave",5,203,2,"media","Maschio",61,3642,"Si"
364,"Nave",3,187,4,"alta","Femmina",29,3141,"Si"
365,"Nave",2,146,3,"bassa","Femmina",62,1936,"Si"
366,"Nave",2,234,3,"media","Maschio",39,2099,"Si"
367,"Nave",4,122,3,"alta","Femmina",15,1354,"Si"
368,"Nave",3,135,3,"bassa","Maschio",8,1074,"Si"
369,"Nave",5,103,3,"bassa","Maschio",3,1403,"Si"
370,"Nave",5,257,3,"media","Femmina",19,2173,"Si"
371,"Nave",3,169,2,"bassa","Maschio",2,1399,"Si"
372,"Nave",5,159,3,"media","Maschio",18,1808,"Si"
373,"Nave",5,188,3,"bassa","Maschio",38,3031,"Si"
374,"Nave",1,136,3,"media","Maschio",19,1420,"Si"
375,"Nave",1,227,3,"bassa","Femmina",19,3007,"Si"
376,"Nave",5,262,2,"bassa","Femmina",53,3275,"Si"
377,"Nave",3,157,2,"bassa","Maschio",45,1965,"Si"
378,"Nave",3,238,2,"media","Femmina",21,2053,"Si"
379,"Nave",5,152,3,"bassa","Maschio",43,1282,"Si"
380,"Nave",2,201,3,"media","Maschio",5,2040,"Si"
381,"Nave",4,148,2,"bassa","Maschio",54,1778,"Si"
382,"Nave",2,199,4,"bassa","Femmina",59,2885,"Si"
383,"Nave",4,215,2,"bassa","Femmina",45,3501,"Si"
384,"Nave",5,175,2,"bassa","Maschio",40,1270,"Si"
385,"Strada",3,236,2,"alta","Maschio",23,3123,"Si"
386,"Strada",5,182,2,"media","Femmina",57,2896,"Si"
387,"Strada",1,251,3,"media","Maschio",42,3698,"Si"
388,"Strada",2,173,3,"bassa","Femmina",7,1855,"Si"
389,"Strada",3,225,3,"bassa","Femmina",62,2587,"Si"
390,"Strada",2,167,4,"bassa","Femmina",20,1705,"Si"
391,"Strada",1,259,3,"bassa","Maschio",20,2154,"Si"
392,"Strada",1,178,3,"media","Femmina",63,1573,"Si"
393,"Strada",4,178,4,"media","Femmina",13,1614,"Si"
394,"Strada",4,169,2,"bassa","Femmina",20,1765,"Si"
395,"Strada",2,272,2,"bassa","Maschio",33,2321,"Si"
396,"Strada",4,183,3,"bassa","Maschio",29,3251,"Si"
397,"Strada",4,205,3,"bassa","Femmina",10,2728,"Si"
398,"Strada",1,123,4,"bassa","Femmina",53,1036,"Si"
399,"Strada",3,152,3,"bassa","Maschio",58,1453,"Si"
400,"Strada",1,220,2,"alta","Femmina",40,3773,"Si"
401,"Strada",3,134,3,"bassa","Maschio",51,1965,"Si"
402,"Strada",2,217,2,"alta","Maschio",19,2992,"Si"
403,"Strada",2,265,3,"bassa","Femmina",49,2791,"Si"
404,"Strada",2,249,5,"media","Maschio",36,3836,"Si"
405,"Strada",3,213,4,"media","Femmina",50,2003,"Si"
406,"Strada",2,124,3,"bassa","Femmina",56,1494,"Si"
407,"Aereo",1,180,2,"bassa","Maschio",23,1193,"Si"
408,"Aereo",5,193,3,"media","Maschio",65,2267,"Si"
409,"Aereo",2,192,3,"media","Maschio",43,3339,"Si"
410,"Aereo",5,166,3,"media","Maschio",3,1832,"Si"
411,"Aereo",2,264,3,"media","Maschio",5,3861,"Si"
412,"Aereo",4,200,2,"media","Maschio",14,3528,"Si"
413,"Aereo",3,142,4,"media","Maschio",12,1396,"Si"
414,"Aereo",1,215,2,"bassa","Maschio",32,3066,"Si"
415,"Aereo",1,218,2,"bassa","Maschio",15,2745,"Si"
416,"Aereo",2,115,3,"bassa","Femmina",27,1814,"Si"
417,"Aereo",3,159,3,"bassa","Maschio",33,1330,"Si"
418,"Aereo",5,133,3,"bassa","Maschio",63,1218,"Si"
419,"Aereo",2,178,3,"bassa","Maschio",48,1517,"Si"
420,"Aereo",2,134,2,"bassa","Femmina",43,1714,"Si"
421,"Aereo",1,184,5,"media","Femmina",58,2544,"Si"
422,"Aereo",2,251,2,"media","Maschio",24,2405,"Si"
423,"Aereo",2,141,3,"bassa","Maschio",7,1933,"Si"
424,"Aereo",4,229,2,"media","Maschio",45,3776,"Si"
425,"Aereo",1,203,4,"bassa","Maschio",34,3813,"Si"
426,"Aereo",3,158,3,"media","Femmina",57,1911,"Si"
427,"Aereo",4,167,3,"media","Maschio",52,1755,"Si"
428,"Aereo",4,197,4,"bassa","Femmina",40,3303,"Si"
