"","default","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","OCCUPATION_TYPE"
"57",0,"F","N","Y",0,99000,215640,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"58",0,"M","N","Y",0,180000,986553,"Working","Secondary / secondary special","Separated","House / apartment","Laborers"
"59",0,"F","N","Y",0,292500,953010,"Working","Secondary / secondary special","Separated","House / apartment","Medicine staff"
"60",0,"M","Y","Y",0,112500,545040,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Drivers"
"61",0,"M","Y","N",0,193500,1374480,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"62",0,"M","Y","Y",0,180000,1528200,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"63",0,"M","N","N",0,360000,1006920,"Commercial associate","Secondary / secondary special","Married","Rented apartment","Laborers"
"64",0,"F","N","Y",1,117000,49500,"Commercial associate","Secondary / secondary special","Single / not married","With parents","Core staff"
"65",0,"M","N","N",1,207000,497520,"Working","Secondary / secondary special","Civil marriage","House / apartment","Laborers"
"66",0,"M","N","Y",0,67500,98910,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"67",0,"F","Y","N",0,180000,1704978,"Pensioner","Incomplete higher","Married","House / apartment",""
"68",0,"F","Y","N",0,112500,1078200,"Working","Secondary / secondary special","Married","House / apartment","Medicine staff"
"69",0,"F","N","Y",1,90000,691020,"Working","Secondary / secondary special","Single / not married","House / apartment","Cooking staff"
"70",0,"F","N","N",0,112500,526491,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","Managers"
"71",0,"F","N","N",0,135000,225000,"Commercial associate","Higher education","Single / not married","Co-op apartment","Core staff"
"72",0,"M","N","N",0,225000,531265.5,"Commercial associate","Higher education","Civil marriage","With parents","Laborers"
"73",0,"M","Y","Y",2,90000,495000,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"74",0,"F","Y","N",1,279000,1971072,"State servant","Secondary / secondary special","Civil marriage","House / apartment","Medicine staff"
"75",0,"F","N","N",1,67500,630000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Sales staff"
"76",0,"M","Y","N",0,211500,469152,"State servant","Higher education","Single / not married","With parents",""
"77",0,"F","N","Y",0,202500,227520,"Working","Higher education","Single / not married","House / apartment",""
"78",0,"M","Y","Y",0,135000,573628.5,"Working","Secondary / secondary special","Single / not married","House / apartment","Drivers"
"79",0,"M","Y","Y",0,103500,101880,"Working","Secondary / secondary special","Civil marriage","House / apartment","Laborers"
"80",0,"M","N","Y",0,135000,521280,"State servant","Secondary / secondary special","Married","House / apartment","Laborers"
"81",0,"F","N","N",1,135000,781920,"Working","Secondary / secondary special","Civil marriage","House / apartment","Sales staff"
"82",0,"M","Y","N",0,135000,602194.5,"Commercial associate","Secondary / secondary special","Married","House / apartment","Drivers"
"83",0,"M","Y","Y",0,180000,1288350,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",""
"84",0,"F","N","Y",0,157500,9e+05,"Working","Secondary / secondary special","Married","House / apartment",""
"85",0,"M","Y","Y",0,180000,1159411.5,"Working","Secondary / secondary special","Civil marriage","House / apartment","Core staff"
"86",0,"F","N","N",2,112500,450000,"Commercial associate","Higher education","Married","House / apartment","Core staff"
"87",0,"F","N","Y",0,112500,113760,"Working","Secondary / secondary special","Married","House / apartment","Cleaning staff"
"88",0,"M","N","N",1,90000,254700,"Working","Secondary / secondary special","Married","House / apartment","Drivers"
"89",0,"F","Y","Y",0,225000,1223010,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"90",0,"F","N","Y",2,90000,50940,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"91",0,"F","N","N",0,315000,450000,"Commercial associate","Higher education","Married","Municipal apartment","Core staff"
"92",0,"F","N","Y",2,157500,1288350,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"93",0,"F","Y","Y",2,180000,590337,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Cleaning staff"
"94",0,"F","N","Y",0,144000,132768,"Working","Secondary / secondary special","Single / not married","House / apartment","Medicine staff"
"95",0,"M","N","N",1,360000,1042560,"Commercial associate","Secondary / secondary special","Married","House / apartment","Core staff"
"96",0,"F","N","Y",0,225000,1258650,"Pensioner","Higher education","Married","House / apartment",""
"97",0,"M","N","Y",0,135000,614475,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"98",0,"F","N","Y",0,270000,607050,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"99",0,"M","Y","Y",0,405000,1436850,"Commercial associate","Higher education","Married","House / apartment","Laborers"
"100",0,"M","Y","Y",0,180000,508500,"Commercial associate","Higher education","Married","House / apartment","Laborers"
"101",0,"F","N","Y",0,157500,254700,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"102",0,"F","N","Y",0,180000,585216,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"103",0,"M","N","N",0,180000,213948,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Laborers"
"104",0,"F","N","N",0,202500,315666,"Pensioner","Higher education","Married","House / apartment",""
"105",0,"F","Y","N",2,157500,247275,"Commercial associate","Lower secondary","Separated","House / apartment","Sales staff"
"106",0,"F","N","Y",0,243000,351792,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"107",0,"M","Y","Y",0,270000,9e+05,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"108",0,"F","Y","N",0,270000,835380,"Working","Higher education","Married","House / apartment","Core staff"
"109",0,"F","Y","Y",0,85500,490495.5,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"110",0,"F","N","Y",0,211500,481176,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"111",0,"M","Y","N",0,154800,1142725.5,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Security staff"
"112",0,"M","N","Y",0,45000,91143,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",""
"113",0,"M","Y","N",0,270000,824823,"Working","Secondary / secondary special","Married","House / apartment","Drivers"
"114",0,"M","N","Y",0,292500,640080,"Commercial associate","Secondary / secondary special","Married","House / apartment","Managers"
"115",0,"F","N","Y",0,157500,288873,"Working","Secondary / secondary special","Married","House / apartment",""
"116",0,"F","N","Y",0,135000,888840,"Working","Secondary / secondary special","Single / not married","House / apartment","Sales staff"
"117",0,"F","N","Y",0,45000,284400,"Pensioner","Lower secondary","Widow","House / apartment",""
"118",0,"M","Y","Y",0,180000,284256,"Working","Higher education","Civil marriage","House / apartment","Managers"
"119",0,"F","N","Y",0,135000,818410.5,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"120",0,"F","N","Y",0,202500,1132110,"Pensioner","Higher education","Married","Co-op apartment",""
"121",0,"M","N","Y",0,126000,1288350,"Working","Secondary / secondary special","Married","House / apartment","Low-skill Laborers"
"122",0,"F","N","Y",0,427500,1575000,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"123",0,"F","Y","Y",0,135000,545040,"Working","Higher education","Married","With parents","Accountants"
"124",0,"F","N","Y",2,126000,1078200,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"125",0,"M","Y","N",0,144000,225000,"Working","Secondary / secondary special","Civil marriage","House / apartment","Managers"
"126",0,"F","N","Y",0,90000,315666,"Pensioner","Lower secondary","Single / not married","House / apartment",""
"127",0,"M","Y","Y",0,90000,735133.5,"Working","Secondary / secondary special","Married","Rented apartment","Drivers"
"128",0,"F","N","Y",0,135000,1535553,"Working","Secondary / secondary special","Married","House / apartment",""
"129",0,"F","N","Y",0,202500,708939,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"130",0,"F","N","N",1,90000,197820,"Working","Higher education","Married","Rented apartment","Accountants"
"131",0,"M","Y","Y",1,135000,203760,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"132",0,"F","Y","Y",0,270000,1345500,"Commercial associate","Higher education","Single / not married","House / apartment",""
"133",0,"F","Y","Y",1,202500,450000,"Commercial associate","Secondary / secondary special","Separated","House / apartment",""
"134",0,"F","N","Y",0,157500,463500,"Commercial associate","Higher education","Married","House / apartment","Laborers"
"135",0,"M","N","Y",0,180000,1396570.5,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"136",0,"M","Y","N",0,270000,558000,"Working","Higher education","Married","House / apartment",""
"137",0,"F","N","Y",0,157500,816021,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"138",0,"F","N","Y",1,135000,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Core staff"
"139",0,"F","N","Y",0,180000,1345036.5,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"140",0,"M","Y","Y",0,202500,152820,"Pensioner","Secondary / secondary special","Civil marriage","House / apartment",""
"141",0,"F","N","N",0,180000,495882,"Working","Secondary / secondary special","Married","House / apartment","Private service staff"
"142",0,"F","N","Y",0,189000,536917.5,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"143",0,"F","N","Y",1,85500,134775,"Working","Secondary / secondary special","Married","House / apartment","Cooking staff"
"144",0,"F","Y","Y",1,144000,693000,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"145",0,"F","N","N",0,112500,270000,"Working","Higher education","Separated","House / apartment","Core staff"
"146",0,"M","Y","Y",0,180000,9e+05,"Working","Higher education","Single / not married","With parents","IT staff"
"147",0,"F","N","Y",0,180000,432000,"Working","Secondary / secondary special","Married","House / apartment","Core staff"
"148",0,"M","N","Y",0,112500,808650,"Working","Secondary / secondary special","Married","House / apartment","Drivers"
"149",0,"F","N","Y",0,58500,518562,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"150",0,"M","Y","Y",2,202500,288873,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"151",0,"F","N","N",0,247500,716148,"Working","Secondary / secondary special","Married","House / apartment","Managers"
"152",0,"M","N","Y",0,180000,622188,"Working","Secondary / secondary special","Single / not married","House / apartment","Drivers"
"153",0,"M","Y","Y",0,180000,333621,"Working","Incomplete higher","Married","House / apartment","Laborers"
"154",0,"M","Y","Y",0,180000,450000,"Working","Secondary / secondary special","Married","House / apartment",""
"155",0,"F","N","Y",2,135000,1149210,"Working","Secondary / secondary special","Single / not married","House / apartment","Managers"
"156",0,"M","Y","N",0,157500,220662,"Commercial associate","Incomplete higher","Single / not married","House / apartment","Managers"
"157",0,"M","N","N",0,99000,276277.5,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"158",0,"M","Y","Y",1,202500,604152,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"159",0,"M","Y","Y",0,180000,781920,"Working","Secondary / secondary special","Married","House / apartment",""
"160",0,"F","Y","Y",2,157500,187083,"Working","Secondary / secondary special","Civil marriage","House / apartment",""
"161",0,"F","N","Y",0,160650,202500,"State servant","Secondary / secondary special","Separated","House / apartment","Cleaning staff"
"162",0,"M","N","Y",0,135000,254700,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"163",0,"F","Y","Y",2,202500,338832,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"164",0,"F","N","Y",0,360000,9e+05,"Working","Secondary / secondary special","Single / not married","House / apartment","Managers"
"165",0,"M","Y","N",0,157500,450000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"166",0,"M","N","Y",0,112500,315000,"Working","Secondary / secondary special","Married","House / apartment",""
"167",0,"F","N","Y",0,128250,964989,"Pensioner","Secondary / secondary special","Married","Municipal apartment",""
"168",0,"F","Y","Y",0,180000,1327500,"Commercial associate","Higher education","Married","House / apartment","IT staff"
"169",0,"F","Y","Y",1,103500,675000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Core staff"
"170",0,"M","N","Y",0,157500,284400,"State servant","Secondary / secondary special","Married","With parents",""
"171",0,"M","Y","N",1,94500,509922,"Commercial associate","Secondary / secondary special","Married","House / apartment","Drivers"
"172",0,"F","N","Y",0,67500,284400,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Sales staff"
"173",0,"F","N","Y",0,162000,1283197.5,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"174",0,"M","Y","N",0,180000,808650,"Working","Higher education","Single / not married","House / apartment","Managers"
"175",0,"F","N","Y",0,90000,265851,"Pensioner","Higher education","Married","House / apartment",""
"176",0,"M","N","N",0,193500,1125000,"Commercial associate","Secondary / secondary special","Married","House / apartment","Managers"
"177",0,"F","N","N",1,112500,490495.5,"Working","Secondary / secondary special","Married","House / apartment",""
"178",0,"F","N","N",1,135000,573628.5,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"179",0,"F","Y","Y",0,124978.5,474363,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","Sales staff"
"180",0,"F","N","N",2,157500,74182.5,"Working","Secondary / secondary special","Separated","Municipal apartment","Waiters/barmen staff"
"181",0,"F","N","Y",0,45000,225000,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"182",0,"F","N","Y",2,216000,1096020,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"183",0,"M","N","Y",1,180000,172647,"Working","Secondary / secondary special","Separated","House / apartment","Managers"
"184",0,"M","N","Y",0,234000,1120500,"Working","Incomplete higher","Civil marriage","House / apartment","Sales staff"
"185",0,"F","Y","N",0,112500,225000,"State servant","Secondary / secondary special","Married","House / apartment","Managers"
"186",0,"M","N","N",2,157500,239850,"Working","Higher education","Married","House / apartment","High skill tech staff"
"187",0,"F","Y","Y",0,112500,147726,"Commercial associate","Secondary / secondary special","Married","House / apartment","Sales staff"
"188",0,"F","N","Y",0,225000,500211,"Commercial associate","Secondary / secondary special","Married","House / apartment","Realty agents"
"189",0,"F","N","Y",0,112500,397881,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"190",0,"M","N","N",0,112500,654498,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"191",0,"F","Y","Y",2,180000,278460,"Commercial associate","Higher education","Civil marriage","House / apartment","Sales staff"
"192",0,"F","N","Y",0,45000,117162,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"193",0,"F","N","Y",0,180000,116955,"Working","Secondary / secondary special","Civil marriage","House / apartment","Sales staff"
"194",0,"M","Y","Y",0,108000,314055,"Working","Secondary / secondary special","Single / not married","House / apartment",""
"195",0,"F","N","Y",0,202500,640080,"Working","Higher education","Married","House / apartment",""
"196",0,"F","N","Y",0,144000,9e+05,"Working","Secondary / secondary special","Married","House / apartment",""
"197",0,"F","N","N",0,144000,328405.5,"Pensioner","Secondary / secondary special","Separated","House / apartment",""
"198",0,"F","N","Y",0,270000,251280,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"199",0,"F","N","N",0,157500,454500,"Commercial associate","Higher education","Married","House / apartment","Core staff"
"200",0,"M","Y","Y",0,270000,521280,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"201",0,"F","N","N",0,112500,231813,"Commercial associate","Secondary / secondary special","Married","House / apartment","Cleaning staff"
"202",0,"F","N","N",0,157500,1078200,"Commercial associate","Higher education","Single / not married","House / apartment",""
"203",0,"M","Y","Y",0,126000,292500,"Working","Secondary / secondary special","Married","House / apartment",""
"204",0,"M","N","Y",1,121500,225000,"Pensioner","Secondary / secondary special","Separated","House / apartment",""
"205",0,"F","N","N",1,180000,549882,"Working","Higher education","Separated","Rented apartment","Sales staff"
"206",0,"M","N","Y",0,157500,754740,"Pensioner","Higher education","Married","House / apartment",""
"207",0,"M","N","Y",0,112500,463500,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"208",0,"M","N","Y",0,180000,381528,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"209",0,"F","N","Y",0,225000,9e+05,"State servant","Higher education","Separated","House / apartment","Medicine staff"
"210",0,"F","Y","Y",2,144000,783927,"State servant","Secondary / secondary special","Married","House / apartment","Core staff"
"211",0,"M","Y","Y",1,225000,1215000,"Working","Higher education","Married","House / apartment","Managers"
"212",0,"M","N","N",0,135000,997335,"Working","Secondary / secondary special","Married","House / apartment",""
"213",0,"M","N","N",1,126000,247500,"Commercial associate","Secondary / secondary special","Civil marriage","House / apartment","Drivers"
"214",0,"M","Y","Y",0,180000,445333.5,"Working","Secondary / secondary special","Separated","House / apartment",""
"215",0,"F","N","Y",0,67500,70083,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"216",0,"F","N","Y",1,202500,649462.5,"Working","Secondary / secondary special","Widow","House / apartment","Sales staff"
"217",0,"M","N","Y",0,135000,582768,"Working","Secondary / secondary special","Single / not married","House / apartment",""
"218",0,"F","Y","Y",1,157500,247500,"Commercial associate","Higher education","Married","House / apartment","Managers"
"219",0,"F","N","Y",0,180000,533668.5,"Pensioner","Secondary / secondary special","Single / not married","Municipal apartment",""
"220",0,"F","N","Y",0,135000,521280,"Working","Secondary / secondary special","Civil marriage","Office apartment",""
"221",0,"F","N","Y",0,180000,438493.5,"Working","Incomplete higher","Married","With parents","Core staff"
"222",0,"F","N","Y",0,153000,229500,"Working","Higher education","Married","House / apartment","Laborers"
"223",0,"M","N","N",1,135000,9e+05,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"224",0,"M","N","Y",0,211500,225000,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"225",0,"M","Y","N",0,135000,152820,"Working","Secondary / secondary special","Married","With parents","Drivers"
"226",0,"F","N","Y",0,108000,167121,"Working","Secondary / secondary special","Civil marriage","House / apartment","Laborers"
"227",0,"M","N","Y",1,171000,1507869,"State servant","Secondary / secondary special","Married","Municipal apartment",""
"228",0,"F","N","N",0,103500,286704,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"229",0,"F","N","N",1,135000,153576,"Commercial associate","Incomplete higher","Married","Municipal apartment",""
"230",0,"M","N","Y",1,202500,1061599.5,"Commercial associate","Secondary / secondary special","Married","House / apartment",""
"231",0,"F","N","N",0,90000,269550,"Pensioner","Secondary / secondary special","Widow","House / apartment",""
"232",0,"M","N","N",0,337500,971280,"Working","Incomplete higher","Married","House / apartment","Sales staff"
"233",0,"F","N","N",0,112500,566055,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"234",0,"F","Y","N",0,247500,497520,"Commercial associate","Higher education","Single / not married","With parents","Laborers"
"235",0,"F","N","Y",0,139500,740700,"Working","Secondary / secondary special","Widow","House / apartment","Sales staff"
"236",0,"M","Y","N",0,180000,819432,"Commercial associate","Incomplete higher","Married","House / apartment","IT staff"
"237",0,"F","N","N",0,157500,808650,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"238",0,"M","N","N",1,157500,942759,"Working","Secondary / secondary special","Married","House / apartment",""
"239",0,"M","Y","Y",0,292500,983160,"Working","Secondary / secondary special","Married","Municipal apartment","Drivers"
"240",0,"F","N","Y",0,108000,247500,"Pensioner","Secondary / secondary special","Separated","House / apartment",""
"241",0,"M","Y","N",0,157500,199467,"Working","Higher education","Married","House / apartment","Sales staff"
"242",0,"F","N","N",0,112500,454500,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"243",0,"F","N","N",0,90000,9e+05,"Commercial associate","Secondary / secondary special","Married","House / apartment","Laborers"
"244",0,"M","Y","Y",0,180000,665892,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"245",0,"F","N","Y",0,112500,286704,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"246",0,"M","N","N",0,180000,728460,"Working","Secondary / secondary special","Single / not married","House / apartment","Laborers"
"247",0,"F","N","Y",0,157500,1350000,"Commercial associate","Higher education","Married","House / apartment",""
"248",0,"M","Y","N",0,202500,379237.5,"Commercial associate","Secondary / secondary special","Married","House / apartment","Low-skill Laborers"
"249",0,"F","N","Y",0,180000,397017,"Working","Secondary / secondary special","Married","House / apartment","Managers"
"250",0,"M","Y","Y",2,292500,1350000,"Working","Secondary / secondary special","Married","House / apartment","Managers"
"251",0,"F","N","Y",0,90000,254700,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"252",0,"M","Y","Y",1,135000,675000,"Working","Secondary / secondary special","Married","Municipal apartment","Laborers"
"253",0,"M","Y","Y",0,225000,1215000,"Working","Higher education","Married","House / apartment","Laborers"
"254",0,"M","N","Y",0,315000,450000,"State servant","Higher education","Separated","House / apartment","Laborers"
"255",0,"M","N","N",0,135000,592560,"Working","Secondary / secondary special","Married","House / apartment",""
"256",0,"F","Y","Y",2,180000,1270746,"Working","Higher education","Married","House / apartment",""
"257",0,"F","Y","Y",1,135000,1293502.5,"Working","Secondary / secondary special","Married","House / apartment","Medicine staff"
"258",0,"M","N","N",0,157500,247275,"Commercial associate","Secondary / secondary special","Married","House / apartment","Drivers"
"259",0,"F","N","Y",2,76500,254700,"State servant","Secondary / secondary special","Married","House / apartment","Managers"
"260",0,"F","N","Y",0,135000,414229.5,"Pensioner","Secondary / secondary special","Married","House / apartment",""
"261",0,"F","Y","Y",1,90000,1152000,"Working","Secondary / secondary special","Married","House / apartment","Laborers"
"262",0,"F","Y","Y",0,180000,607500,"Working","Higher education","Separated","House / apartment","Core staff"
"263",0,"F","N","Y",2,301500,1546020,"Working","Secondary / secondary special","Civil marriage","House / apartment","Medicine staff"
"264",0,"M","N","Y",0,157500,848745,"Working","Incomplete higher","Married","House / apartment","Drivers"
"265",0,"F","Y","Y",1,99000,213948,"Working","Secondary / secondary special","Married","House / apartment","Sales staff"
"266",0,"F","N","N",1,157500,302206.5,"Working","Secondary / secondary special","Separated","House / apartment","Laborers"
"267",0,"F","Y","N",1,90000,400500,"Working","Secondary / secondary special","Married","House / apartment","Cooking staff"
"268",0,"F","Y","N",0,270000,450000,"Working","Incomplete higher","Single / not married","House / apartment","Sales staff"
