"","gender","total_children","education","member_card","occupation","houseowner","avg_cars_at.home.approx.","avg..yearly_income","num_children_at_home","promotion_name","media_type","spesa_totale"
"42","M",4,"Partial High School","Normal","Manual","Y",0,"$10K - $30K",3,"Free For All","In-Store Coupon",2784.22701070962
"43","M",1,"Bachelors Degree","Bronze","Professional","N",1,"$50K - $70K",0,"Weekend Markdown","In-Store Coupon",2822.62104951217
"44","M",2,"Partial High School","Normal","Manual","Y",0,"$10K - $30K",2,"Double Down Sale","TV",1173.32816379252
"45","F",3,"Partial College","Bronze","Management","Y",3,"$130K - $150K",1,"Price Winners","In-Store Coupon",2436.25064693404
"46","M",2,"Partial High School","Normal","Skilled Manual","Y",1,"$10K - $30K",2,"Double Down Sale","TV",1616.95583882844
"47","M",3,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",0,"Double Down Sale","TV",1187.47543040311
"48","M",3,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",0,"Double Down Sale","TV",1110.21526558371
"49","F",3,"Partial High School","Normal","Manual","N",2,"$10K - $30K",0,"Price Winners","In-Store Coupon",2238.57647252883
"50","F",3,"Partial High School","Normal","Manual","N",2,"$10K - $30K",0,"Double Down Sale","TV",1170.94414442805
"51","F",5,"Bachelors Degree","Bronze","Professional","Y",2,"$50K - $70K",0,"Price Winners","In-Store Coupon",2389.1426622866
"52","M",4,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",0,"Big Time Savings","In-Store Coupon",2165.06509434068
"53","M",2,"Partial College","Normal","Management","Y",3,"$30K - $50K",0,"Pick Your Savings","In-Store Coupon",3013.15778678155
"54","M",2,"Partial College","Normal","Management","Y",3,"$30K - $50K",0,"Pick Your Savings","In-Store Coupon",2196.15722233295
"55","F",2,"Partial High School","Normal","Manual","Y",2,"$10K - $30K",0,"Big Time Savings","In-Store Coupon",3495.60648432725
"56","M",1,"Bachelors Degree","Bronze","Professional","Y",1,"$70K - $90K",1,"Big Time Savings","In-Store Coupon",1741.94020410765
"57","M",3,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",0,"Super Savers","In-Store Coupon",2383.60553176198
"58","M",0,"Bachelors Degree","Bronze","Management","N",2,"$30K - $50K",0,"Big Time Savings","In-Store Coupon",3089.18068827631
"59","M",0,"Partial High School","Normal","Skilled Manual","Y",2,"$10K - $30K",0,"Sales Galore","Bulk Mail",808.292665460504
"60","F",0,"Partial College","Bronze","Skilled Manual","Y",2,"$30K - $50K",0,"Super Savers","In-Store Coupon",2343.60506463172
"61","F",0,"High School Degree","Bronze","Manual","Y",2,"$30K - $50K",0,"Unbeatable Price Savers","Bulk Mail",517.260576286001
"62","F",4,"High School Degree","Normal","Manual","Y",3,"$30K - $50K",3,"Pick Your Savings","In-Store Coupon",2957.4100431561
"63","M",5,"Partial High School","Normal","Manual","N",1,"$10K - $30K",5,"Big Time Savings","In-Store Coupon",1686.06164128944
"64","M",0,"Partial High School","Silver","Skilled Manual","Y",1,"$30K - $50K",0,"Super Savers","In-Store Coupon",2492.8798507931
"65","F",2,"Partial High School","Normal","Skilled Manual","N",1,"$10K - $30K",0,"Sales Days","Bulk Mail",606.887290575385
"66","F",5,"High School Degree","Golden","Skilled Manual","Y",4,"$30K - $50K",0,"Big Time Discounts","In-Store Coupon",2428.32775409216
"67","M",3,"Partial High School","Bronze","Skilled Manual","Y",1,"$10K - $30K",3,"Sales Days","Bulk Mail",923.96263529252
"68","F",4,"High School Degree","Bronze","Manual","N",4,"$30K - $50K",0,"Big Time Discounts","In-Store Coupon",2467.84472722237
"69","M",3,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",0,"Sales Days","Bulk Mail",578.137242633059
"70","F",5,"Bachelors Degree","Bronze","Management","N",3,"$70K - $90K",0,"One Day Sale","In-Store Coupon",1747.98683756818
"71","F",1,"Partial High School","Normal","Skilled Manual","Y",1,"$10K - $30K",0,"Two for One","Bulk Mail",843.386029878752
"72","M",2,"Bachelors Degree","Bronze","Professional","Y",4,"$50K - $70K",1,"Big Time Discounts","In-Store Coupon",2502.29054896145
"73","M",4,"Bachelors Degree","Silver","Professional","N",2,"$130K - $150K",4,"Big Time Discounts","In-Store Coupon",1418.94080804659
"74","M",1,"Bachelors Degree","Bronze","Management","N",2,"$50K - $70K",1,"You Save Days","Bulk Mail",862.987280246027
"75","F",2,"High School Degree","Bronze","Manual","Y",2,"$30K - $50K",0,"Price Destroyers","TV",1657.63186001749
"76","F",4,"High School Degree","Golden","Professional","Y",4,"$90K - $110K",4,"You Save Days","Bulk Mail",771.317609834788
"77","M",4,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",4,"Dollar Cutters","Bulk Mail",1054.58167246453
"78","M",3,"Partial High School","Silver","Skilled Manual","N",3,"$30K - $50K",0,"You Save Days","Bulk Mail",845.586583327073
"79","M",1,"High School Degree","Bronze","Manual","N",2,"$30K - $50K",0,"Price Destroyers","TV",1125.5006849311
"80","F",0,"High School Degree","Bronze","Skilled Manual","N",2,"$30K - $50K",0,"Price Destroyers","TV",337.127771317697
"81","F",1,"Partial High School","Normal","Skilled Manual","Y",2,"$10K - $30K",1,"Price Destroyers","TV",1883.84676084643
"82","M",0,"Partial High School","Silver","Management","N",1,"$110K - $130K",0,"Dollar Cutters","Bulk Mail",424.469892560853
"83","M",0,"High School Degree","Silver","Skilled Manual","Y",3,"$30K - $50K",0,"You Save Days","Bulk Mail",700.844451476719
"84","F",4,"Partial High School","Normal","Manual","N",2,"$10K - $30K",1,"Shelf Emptiers","Bulk Mail",753.32477115136
"85","F",3,"Partial High School","Bronze","Skilled Manual","N",3,"$30K - $50K",0,"Sales Galore","TV",870.697469274714
"86","M",3,"Bachelors Degree","Silver","Professional","N",3,"$130K - $150K",0,"You Save Days","Bulk Mail",928.210186959885
"87","M",2,"Partial High School","Normal","Manual","N",0,"$10K - $30K",0,"Sales Galore","Bulk Mail",835.860079088281
"88","M",2,"Bachelors Degree","Silver","Professional","N",3,"$150K +",0,"Sales Galore","TV",1358.67012198428
"89","F",2,"Bachelors Degree","Bronze","Professional","Y",4,"$50K - $70K",0,"Shelf Emptiers","Bulk Mail",859.614901035572
"90","M",4,"High School Degree","Silver","Professional","Y",3,"$110K - $130K",3,"High Roller Savings","TV",1119.73841251086
"91","F",4,"High School Degree","Bronze","Management","Y",2,"$110K - $130K",0,"Big Time Discounts","In-Store Coupon",2901.37574732703
"92","F",2,"High School Degree","Bronze","Skilled Manual","Y",4,"$30K - $50K",0,"You Save Days","TV",1295.15845148197
"93","F",2,"Partial High School","Normal","Skilled Manual","N",1,"$10K - $30K",2,"Big Time Discounts","In-Store Coupon",3408.04214468786
"94","F",1,"Partial College","Bronze","Skilled Manual","Y",3,"$30K - $50K",1,"Price Savers","In-Store Coupon",2414.65669636027
"95","F",2,"Partial High School","Golden","Professional","N",3,"$150K +",2,"Price Savers","In-Store Coupon",2089.3465735829
"96","M",4,"High School Degree","Bronze","Manual","N",4,"$30K - $50K",0,"Price Savers","In-Store Coupon",2241.25644797224
"97","F",3,"Bachelors Degree","Golden","Management","Y",2,"$50K - $70K",3,"Wallet Savers","TV",1463.87266358367
"98","F",0,"Partial High School","Normal","Manual","N",1,"$10K - $30K",0,"Sale Winners","Bulk Mail",1031.24585546859
"99","F",2,"High School Degree","Bronze","Manual","Y",3,"$30K - $50K",0,"Three for One","In-Store Coupon",2232.41890834476
"100","F",2,"Graduate Degree","Bronze","Professional","N",3,"$70K - $90K",0,"Three for One","In-Store Coupon",2656.70400916854
"101","M",5,"High School Degree","Golden","Skilled Manual","Y",3,"$30K - $50K",5,"Three for One","In-Store Coupon",2308.4296755237
"102","F",3,"Partial College","Golden","Professional","Y",2,"$30K - $50K",3,"Price Savers","TV",1016.24512501633
"103","M",2,"Partial College","Bronze","Skilled Manual","N",3,"$30K - $50K",0,"Wallet Savers","TV",577.653482046894
"104","F",1,"Bachelors Degree","Bronze","Professional","Y",2,"$130K - $150K",0,"Wallet Savers","TV",1306.83650262809
"105","M",2,"High School Degree","Normal","Professional","N",3,"$130K - $150K",0,"Price Savers","TV",1588.23548125285
"106","F",3,"Partial High School","Normal","Skilled Manual","N",2,"$10K - $30K",0,"Super Savers","TV",1393.42203396157
"107","F",3,"Partial High School","Normal","Skilled Manual","N",2,"$10K - $30K",0,"Super Savers","TV",507.560311829799
"108","M",1,"Partial High School","Bronze","Skilled Manual","Y",3,"$30K - $50K",0,"Super Savers","TV",1305.44063466357
"109","M",2,"Partial High School","Normal","Manual","N",0,"$10K - $30K",2,"Three for One","In-Store Coupon",2175.41406014419
"110","F",4,"Bachelors Degree","Silver","Professional","Y",2,"$70K - $90K",2,"Wallet Savers","TV",1353.77442158652
"111","F",4,"Bachelors Degree","Silver","Professional","Y",2,"$70K - $90K",2,"Super Savers","TV",1574.60761044277
"112","M",2,"Bachelors Degree","Bronze","Management","N",2,"$50K - $70K",2,"Price Savers","TV",1077.9824647799
"113","F",5,"Bachelors Degree","Golden","Management","Y",3,"$70K - $90K",3,"Three for One","In-Store Coupon",2421.67597900752
"114","F",4,"Bachelors Degree","Bronze","Professional","N",3,"$50K - $70K",3,"Wallet Savers","TV",1099.93313261032
"115","M",2,"High School Degree","Bronze","Manual","N",3,"$30K - $50K",2,"Super Savers","TV",1250.51172301253
"116","M",4,"Partial High School","Bronze","Professional","Y",3,"$130K - $150K",3,"Money Savers","TV",1338.8595547359
"117","M",4,"Partial High School","Bronze","Professional","Y",3,"$130K - $150K",3,"One Day Sale","TV",704.860907422459
"118","F",2,"Bachelors Degree","Bronze","Management","N",1,"$50K - $70K",0,"Money Savers","TV",1333.69728450386
"119","M",1,"Bachelors Degree","Bronze","Professional","N",2,"$50K - $70K",0,"Sale Winners","In-Store Coupon",2621.14731905199
"120","M",4,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",0,"One Day Sale","TV",1442.45225127744
"121","F",2,"Partial High School","Bronze","Skilled Manual","N",3,"$30K - $50K",0,"One Day Sale","TV",1883.38845056738
"122","M",5,"Partial High School","Golden","Professional","Y",2,"$90K - $110K",5,"Money Savers","TV",704.748203701775
"123","M",1,"Partial College","Silver","Professional","Y",4,"$30K - $50K",1,"One Day Sale","TV",1736.61940429388
"124","F",1,"Bachelors Degree","Bronze","Professional","N",3,"$50K - $70K",0,"Money Savers","TV",1039.18271962224
"125","F",0,"Bachelors Degree","Bronze","Management","Y",3,"$70K - $90K",0,"One Day Sale","TV",944.455569120026
"126","M",2,"Partial High School","Bronze","Manual","N",2,"$30K - $50K",0,"Sale Winners","In-Store Coupon",2141.05137143691
"127","F",5,"High School Degree","Bronze","Manual","N",3,"$30K - $50K",1,"Sale Winners","In-Store Coupon",2723.00768560445
"128","F",4,"Partial High School","Golden","Manual","Y",4,"$30K - $50K",3,"Sale Winners","In-Store Coupon",2945.72048196344
"129","F",3,"Bachelors Degree","Bronze","Management","Y",2,"$70K - $90K",2,"One Day Sale","TV",1556.48602946116
"130","F",3,"Bachelors Degree","Bronze","Management","Y",2,"$70K - $90K",2,"Sale Winners","In-Store Coupon",1824.85640731607
"131","M",0,"Partial High School","Normal","Manual","Y",0,"$10K - $30K",0,"One Day Sale","TV",1736.82891392666
"132","F",2,"High School Degree","Normal","Skilled Manual","N",1,"$30K - $50K",1,"Money Savers","TV",1342.26492145443
"133","M",3,"High School Degree","Bronze","Skilled Manual","N",3,"$30K - $50K",0,"One Day Sale","TV",1700.22729664085
"134","F",4,"Partial High School","Normal","Manual","N",0,"$10K - $30K",2,"Money Savers","TV",1443.76388203762
"135","F",5,"Partial High School","Bronze","Manual","N",1,"$10K - $30K",4,"One Day Sale","TV",1291.57627028927
"136","M",2,"Bachelors Degree","Bronze","Professional","Y",3,"$90K - $110K",0,"Sale Winners","In-Store Coupon",1574.06509837067
"137","F",1,"Partial College","Bronze","Management","Y",2,"$30K - $50K",0,"Money Savers","TV",1424.61563028971
"138","F",5,"High School Degree","Normal","Professional","N",1,"$130K - $150K",0,"Go For It","Bulk Mail",962.609408683989
"139","M",5,"Partial College","Bronze","Clerical","Y",3,"$30K - $50K",0,"Go For It","Bulk Mail",958.880900657775
"140","F",5,"Partial High School","Normal","Skilled Manual","Y",0,"$10K - $30K",5,"Go For It","Bulk Mail",835.149383950301
"141","M",1,"Partial High School","Silver","Professional","Y",2,"$150K +",0,"Go For It","Bulk Mail",717.627400952379
"142","F",1,"Bachelors Degree","Bronze","Management","Y",3,"$50K - $70K",1,"Coupon Spectacular","In-Store Coupon",2495.2895483327
"143","M",1,"Partial High School","Bronze","Professional","Y",1,"$90K - $110K",1,"Coupon Spectacular","In-Store Coupon",2502.65036333038
"144","F",0,"Partial College","Bronze","Management","N",3,"$30K - $50K",0,"Save-It Sale","In-Store Coupon",2498.91195824108
"145","M",0,"Partial College","Bronze","Clerical","Y",3,"$30K - $50K",0,"Green Light Special","In-Store Coupon",2419.62692607116
"146","F",4,"High School Degree","Bronze","Manual","N",4,"$30K - $50K",0,"Dollar Cutters","TV",1317.45905702416
"147","F",0,"Partial College","Bronze","Professional","Y",4,"$30K - $50K",0,"Coupon Spectacular","TV",1765.7795617426
"148","M",0,"Bachelors Degree","Golden","Professional","Y",3,"$50K - $70K",0,"Mystery Sale","Bulk Mail",935.42972233655
"149","M",2,"Bachelors Degree","Bronze","Professional","Y",1,"$50K - $70K",2,"Coupon Spectacular","TV",792.535818732107
"150","M",0,"High School Degree","Bronze","Manual","Y",4,"$30K - $50K",0,"Shelf Clearing Days","In-Store Coupon",2033.43798701692
"151","M",4,"Partial High School","Normal","Skilled Manual","N",1,"$10K - $30K",0,"Mystery Sale","Bulk Mail",896.531328915114
"152","M",5,"High School Degree","Bronze","Skilled Manual","Y",4,"$30K - $50K",1,"Mystery Sale","Bulk Mail",907.211033448414
"153","F",4,"Graduate Degree","Silver","Management","Y",4,"$70K - $90K",4,"Mystery Sale","Bulk Mail",784.553220860692
"154","M",1,"Bachelors Degree","Golden","Professional","N",2,"$50K - $70K",0,"Weekend Markdown","TV",2260.10112629448
"155","F",5,"Partial College","Silver","Professional","N",3,"$130K - $150K",5,"Weekend Markdown","TV",1085.83457235014
"156","F",2,"Partial High School","Normal","Skilled Manual","N",2,"$10K - $30K",0,"Weekend Markdown","TV",1231.53047107174
"157","F",3,"Partial High School","Bronze","Management","Y",3,"$70K - $90K",0,"Weekend Markdown","TV",1716.06255101154
"158","M",4,"High School Degree","Bronze","Professional","Y",1,"$110K - $130K",0,"Weekend Markdown","TV",1499.3219657147
"159","F",1,"High School Degree","Bronze","Manual","Y",1,"$30K - $50K",1,"Super Duper Savers","TV",1899.73335312097
"160","F",0,"Partial High School","Golden","Professional","Y",4,"$150K +",0,"Save-It Sale","In-Store Coupon",3901.75593225934
"161","M",2,"Bachelors Degree","Bronze","Management","N",2,"$70K - $90K",2,"Shelf Clearing Days","TV",1690.76198855354
"162","F",3,"Partial High School","Golden","Manual","Y",4,"$30K - $50K",3,"Shelf Clearing Days","TV",1288.25246176095
"163","M",5,"Bachelors Degree","Bronze","Professional","Y",2,"$50K - $70K",0,"Dollar Cutters","Bulk Mail",999.367275327372
"164","M",1,"Bachelors Degree","Bronze","Professional","Y",2,"$70K - $90K",1,"Shelf Clearing Days","TV",1425.85568446447
"165","F",4,"Graduate Degree","Golden","Professional","Y",3,"$90K - $110K",4,"You Save Days","In-Store Coupon",2074.73683057663
"166","M",4,"Bachelors Degree","Bronze","Professional","N",1,"$50K - $70K",0,"You Save Days","In-Store Coupon",2787.47237334509
"167","F",4,"Partial High School","Bronze","Skilled Manual","N",1,"$10K - $30K",3,"I Cant Believe It Sale","TV",1644.16307852875
"168","M",2,"Bachelors Degree","Silver","Professional","Y",1,"$50K - $70K",2,"Savings Galore","In-Store Coupon",3140.74538873486
"169","F",4,"High School Degree","Normal","Skilled Manual","N",4,"$30K - $50K",0,"Cash Register Lottery","In-Store Coupon",2991.80690722089
"170","M",1,"Partial High School","Normal","Skilled Manual","N",2,"$50K - $70K",0,"Double Down Sale","TV",928.971483538096
"171","F",2,"High School Degree","Bronze","Skilled Manual","N",3,"$30K - $50K",1,"Double Down Sale","TV",1316.61517920818
"172","M",4,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",0,"Unbeatable Price Savers","Bulk Mail",693.642829174743
"173","F",4,"Graduate Degree","Bronze","Professional","Y",2,"$70K - $90K",1,"Unbeatable Price Savers","Bulk Mail",841.677932058382
"174","F",4,"High School Degree","Bronze","Manual","Y",3,"$30K - $50K",1,"Big Time Savings","In-Store Coupon",1638.04700897164
"175","F",0,"Bachelors Degree","Bronze","Professional","Y",1,"$50K - $70K",0,"One Day Sale","In-Store Coupon",3014.17653934742
"176","F",4,"Partial High School","Normal","Skilled Manual","Y",0,"$10K - $30K",1,"Two for One","Bulk Mail",1045.20873141773
"177","F",1,"Bachelors Degree","Bronze","Professional","N",2,"$70K - $90K",0,"Two for One","Bulk Mail",847.288939406136
"178","F",4,"High School Degree","Bronze","Skilled Manual","N",2,"$30K - $50K",0,"Big Time Discounts","In-Store Coupon",1580.99886408319
"179","M",1,"Bachelors Degree","Bronze","Management","N",2,"$50K - $70K",1,"You Save Days","Bulk Mail",956.637498121101
"180","M",1,"High School Degree","Golden","Manual","Y",2,"$30K - $50K",0,"Price Destroyers","TV",1122.65126874705
"181","M",0,"Graduate Degree","Bronze","Professional","Y",1,"$70K - $90K",0,"High Roller Savings","TV",1168.66390311988
"182","M",1,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",1,"You Save Days","TV",476.534071171315
"183","F",4,"Partial High School","Silver","Manual","Y",3,"$30K - $50K",4,"Sale Winners","Bulk Mail",994.095644122582
"184","F",1,"Bachelors Degree","Bronze","Professional","Y",2,"$130K - $150K",0,"Wallet Savers","TV",1772.03866742338
"185","M",4,"High School Degree","Bronze","Manual","N",3,"$30K - $50K",0,"Price Savers","TV",1463.01593773877
"186","M",4,"Bachelors Degree","Bronze","Management","Y",2,"$50K - $70K",0,"Three for One","In-Store Coupon",2604.33192464807
"187","F",3,"Partial High School","Normal","Skilled Manual","N",2,"$10K - $30K",0,"Super Savers","TV",999.285409561343
"188","F",3,"Graduate Degree","Bronze","Management","N",1,"$130K - $150K",1,"Three for One","In-Store Coupon",2501.14955350642
"189","M",1,"Partial High School","Bronze","Skilled Manual","Y",3,"$30K - $50K",0,"Super Savers","TV",1381.08247663324
"190","M",2,"Partial High School","Normal","Manual","N",0,"$10K - $30K",2,"Shelf Clearing Days","Bulk Mail",1043.85642547923
"191","M",2,"Partial High School","Normal","Manual","N",0,"$10K - $30K",2,"Price Savers","TV",1176.82004629894
"192","M",1,"Bachelors Degree","Bronze","Professional","Y",4,"$70K - $90K",0,"Price Savers","TV",1060.33771625552
"193","M",5,"High School Degree","Bronze","Skilled Manual","Y",2,"$30K - $50K",1,"Wallet Savers","TV",1080.91763505408
"194","M",0,"Partial High School","Silver","Professional","Y",2,"$150K +",0,"Sale Winners","In-Store Coupon",2384.70602624269
"195","F",1,"Bachelors Degree","Bronze","Professional","N",3,"$50K - $70K",0,"Sale Winners","In-Store Coupon",2476.053726606
"196","F",5,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",3,"Money Savers","TV",474.931759937346
"197","M",1,"Partial High School","Silver","Professional","Y",2,"$150K +",0,"Go For It","Bulk Mail",718.084981525964
"198","F",5,"High School Degree","Bronze","Professional","Y",3,"$90K - $110K",0,"Go For It","Bulk Mail",644.672728392243
"199","M",5,"High School Degree","Bronze","Skilled Manual","Y",4,"$30K - $50K",1,"Coupon Spectacular","TV",1759.59430126221
"200","F",3,"Bachelors Degree","Golden","Professional","Y",3,"$50K - $70K",3,"Mystery Sale","Bulk Mail",742.740113403759
"201","M",2,"High School Degree","Bronze","Skilled Manual","N",3,"$30K - $50K",0,"Coupon Spectacular","TV",1743.35114962639
"202","F",3,"Bachelors Degree","Bronze","Professional","N",2,"$50K - $70K",0,"Weekend Markdown","TV",581.34493207294
"203","F",4,"High School Degree","Golden","Professional","N",2,"$70K - $90K",4,"Weekend Markdown","TV",922.031050421682
"204","F",2,"High School Degree","Bronze","Manual","Y",1,"$30K - $50K",2,"Weekend Markdown","TV",702.174928488505
"205","F",0,"High School Degree","Bronze","Professional","Y",4,"$110K - $130K",0,"Dollar Cutters","Bulk Mail",564.409852268587
"206","M",1,"Bachelors Degree","Bronze","Professional","Y",2,"$70K - $90K",1,"Shelf Clearing Days","TV",1400.60292977882
"207","F",4,"Partial High School","Bronze","Skilled Manual","N",1,"$10K - $30K",3,"I Cant Believe It Sale","TV",835.293068221338
"208","M",0,"Bachelors Degree","Silver","Professional","Y",4,"$50K - $70K",0,"Cash Register Lottery","In-Store Coupon",1569.15372503603
"209","F",4,"High School Degree","Bronze","Skilled Manual","N",2,"$30K - $50K",0,"Cash Register Lottery","In-Store Coupon",1792.35485510913
"210","F",1,"Bachelors Degree","Golden","Professional","Y",3,"$130K - $150K",1,"Cash Register Lottery","In-Store Coupon",2691.76193115421
"211","F",1,"Bachelors Degree","Golden","Professional","Y",3,"$130K - $150K",1,"Cash Register Lottery","In-Store Coupon",2728.90521939967
"212","F",3,"Partial High School","Normal","Skilled Manual","N",1,"$10K - $30K",3,"Double Down Sale","TV",1902.72332961616
"213","M",3,"Bachelors Degree","Bronze","Management","N",2,"$70K - $90K",0,"Free For All","In-Store Coupon",2312.4529782918
"214","F",4,"Bachelors Degree","Bronze","Professional","Y",1,"$30K - $50K",1,"Free For All","In-Store Coupon",2620.65510594822
"215","M",2,"Partial High School","Bronze","Management","Y",2,"$90K - $110K",0,"Weekend Markdown","In-Store Coupon",2750.97694796893
"216","M",4,"Bachelors Degree","Bronze","Professional","Y",3,"$50K - $70K",0,"Free For All","In-Store Coupon",2418.58989112626
"217","F",2,"Graduate Degree","Silver","Management","N",1,"$70K - $90K",0,"Free For All","In-Store Coupon",1792.17913078308
"218","F",1,"Partial High School","Normal","Manual","N",0,"$10K - $30K",0,"Double Down Sale","TV",764.992866802808
"219","M",2,"Partial High School","Normal","Skilled Manual","Y",0,"$10K - $30K",2,"Double Down Sale","TV",1377.88153805701
"220","M",1,"Partial High School","Normal","Manual","N",1,"$10K - $30K",0,"Double Down Sale","TV",870.430969127122
"221","F",3,"High School Degree","Bronze","Manual","N",1,"$30K - $50K",0,"Double Down Sale","TV",1231.08513347853
