"","Year_Birth","Marital_Status","Income","Kidhome","Teenhome","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","Response"
"43",1976,"Single",79941,0,0,123,164,266,227,30,174,0
"44",1996,"Married",7500,0,0,3,18,14,15,22,50,1
"45",1968,"Together",41728,1,0,13,6,15,3,5,13,0
"46",1954,"Married",72550,1,1,826,50,317,50,38,38,0
"47",1957,"Widow",65486,0,1,245,19,125,37,67,14,0
"48",1964,"Married",79143,0,0,650,37,780,27,167,32,0
"49",1977,"Single",35790,1,0,12,6,20,30,1,3,0
"50",1977,"Divorced",82582,0,0,510,120,550,156,40,241,1
"51",1978,"Married",66373,1,1,328,9,124,12,24,109,0
"52",1955,"Together",82384,0,0,984,51,432,180,120,190,1
"53",1966,"Divorced",70287,0,0,295,35,482,121,120,40,1
"54",1988,"Single",27938,1,0,13,0,8,2,1,5,0
"55",1968,"Married",55954,0,1,447,0,28,0,0,43,0
"56",1982,"Single",75777,0,0,712,26,538,69,13,80,1
"57",1975,"Together",66653,1,1,452,18,102,16,18,6,0
"58",1952,"Single",61823,0,1,523,7,134,37,14,169,0
"59",1951,"Widow",67680,0,1,546,0,48,0,6,6,0
"60",1948,"Together",70666,0,0,398,40,367,119,122,30,0
"61",1971,"Married",25721,1,0,1,3,6,3,6,15,1
"62",1967,"Together",32474,1,1,10,0,1,0,0,0,0
"63",1979,"Single",88194,0,1,688,14,309,201,24,38,1
"64",1958,"Together",69096,0,1,247,49,159,7,82,109,0
"65",1970,"Together",74854,1,2,856,59,487,58,29,73,0
"66",1954,"Married",66991,0,0,496,36,460,189,60,12,0
"67",1959,"Married",65031,0,1,258,107,291,84,37,86,0
"68",1975,"Married",60631,1,1,565,6,65,0,6,19,0
"69",1952,"Married",28332,0,0,14,10,13,4,15,9,0
"70",1977,"Divorced",40246,1,0,2,1,6,2,1,1,0
"71",1972,"Married",75251,0,0,721,111,925,97,18,18,1
"72",1976,"Single",75825,0,0,1032,105,779,137,105,51,1
"73",1976,"Together",26326,0,0,1,0,5,0,3,9,0
"74",1965,"Together",56046,0,0,577,0,64,0,0,51,1
"75",1985,"Single",29760,1,0,64,4,68,7,5,17,0
"76",1969,"Married",26304,1,0,4,1,5,2,0,4,0
"77",1973,"Married",23559,1,0,25,5,19,7,0,23,0
"78",1963,"Together",38620,0,0,112,17,44,34,22,89,0
"79",1987,"Divorced",81361,0,0,163,23,424,27,65,76,0
"80",1960,"Married",29440,1,1,17,8,14,10,4,3,0
"81",1970,"Married",36138,1,1,130,0,16,0,0,5,0
"82",1957,"Single",50388,0,1,292,6,37,0,3,34,1
"83",1973,"Married",79593,0,0,350,60,568,110,133,145,0
"84",1967,"Together",54178,0,1,135,9,39,4,0,7,0
"85",1972,"Single",42394,1,0,15,2,10,0,1,4,0
"86",1970,"Married",23626,1,0,27,2,14,0,0,0,0
"87",1983,"Married",30096,1,0,5,3,11,12,5,9,0
"88",1960,"Widow",47916,0,1,505,0,26,0,0,75,0
"89",1972,"Divorced",51813,1,1,51,2,7,0,1,2,0
"90",1951,"Married",78497,0,0,207,26,447,75,0,223,0
"91",1983,"Married",50150,0,0,135,46,92,65,61,11,0
"92",1960,"Single",47823,0,1,53,1,5,2,1,10,0
"93",1959,"Single",34554,0,1,41,1,6,2,0,5,0
"94",1979,"Together",85693,0,1,386,172,183,185,132,111,0
"95",1945,"Married",65846,0,0,562,81,276,80,40,81,0
"96",1959,"Married",87195,0,0,217,76,690,50,26,38,1
"97",1979,"Together",24594,1,0,1,3,6,10,0,9,0
"98",1964,"Married",49096,1,1,144,1,32,2,1,7,0
"99",1969,"Married",52413,0,2,295,106,271,75,98,65,0
"100",1978,"Single",38557,1,0,76,3,31,4,4,27,0
"101",1960,"Married",89058,0,0,454,194,106,31,22,43,0
"102",1979,"Together",77298,0,1,425,115,292,23,35,79,0
"103",1991,"Single",68126,0,0,1332,17,311,23,51,86,1
"104",1963,"Together",57288,0,1,527,0,21,0,0,60,0
"105",1991,"Single",86037,0,0,490,44,125,29,20,22,1
"106",1980,"Married",43974,1,0,378,0,101,0,0,72,0
"107",1962,"Single",50785,1,1,64,1,21,0,1,27,0
"108",1970,"Married",90765,0,0,547,99,812,151,82,33,0
"109",1978,"Married",36550,1,0,47,90,94,123,103,120,0
"110",1967,"Together",30753,1,1,12,5,25,0,9,30,0
"111",1969,"Together",21918,1,0,1,6,7,11,5,3,0
"112",1953,"Together",56129,0,1,320,48,133,39,72,48,0
"113",1967,"Single",32557,1,0,34,3,29,0,4,10,1
"114",1985,"Married",19510,2,0,9,0,7,3,4,7,0
"115",1976,"Divorced",30992,1,0,17,0,14,7,3,2,0
"116",1983,"Single",101970,0,0,722,27,102,44,72,168,1
"117",1965,"Together",71488,0,0,162,33,124,40,28,172,0
"118",1984,"Single",79607,0,0,450,133,951,173,0,216,1
"119",1953,"Married",54348,1,1,70,0,16,0,0,4,0
"120",1956,"Together",77376,1,1,492,19,110,16,12,12,0
"121",1952,"Married",62998,0,1,120,58,73,65,89,58,0
"122",1958,"Alone",61331,1,1,534,5,47,0,5,41,0
"123",1969,"Married",73448,0,0,236,106,189,23,41,130,0
"124",1964,"Married",41551,1,1,220,0,33,3,0,23,0
"125",1967,"Together",62981,0,0,796,14,590,38,44,0,0
"126",1976,"Divorced",9548,1,0,0,1,3,10,6,9,0
"127",1959,"Married",33762,2,1,53,1,34,2,0,16,0
"128",1973,"Alone",35860,1,1,15,0,8,4,2,20,1
"129",1965,"Divorced",36921,1,1,17,1,12,3,1,4,0
"130",1992,"Single",92859,0,0,962,61,921,52,61,20,0
"131",1976,"Together",65104,0,1,738,0,232,13,20,50,1
"132",1962,"Married",86111,0,0,399,28,756,36,40,126,0
"133",1974,"Single",68352,0,1,614,16,132,43,33,33,0
"134",1988,"Together",41883,1,0,32,34,41,73,16,116,0
"135",1976,"Married",59809,0,2,598,16,141,32,41,49,0
"136",1975,"Married",23957,1,0,2,1,18,20,11,16,1
"137",1981,"Together",38547,1,0,6,1,10,0,1,4,0
"138",1973,"Married",35688,2,1,73,3,90,12,1,32,0
"139",1966,"Married",49605,0,0,42,16,29,12,20,8,0
"140",1953,"Married",59354,0,2,295,21,78,39,13,13,0
"141",1969,"Married",65747,0,1,346,17,48,23,13,13,0
"142",1972,"Together",46344,0,1,233,20,57,8,20,91,0
"143",1988,"Alone",34176,1,0,5,7,24,19,14,20,0
"144",1952,"Together",61010,0,1,888,0,57,0,0,76,0
"145",1949,"Together",69372,0,0,997,26,269,34,13,42,1
"146",1958,"Single",49967,0,1,212,6,69,4,12,3,0
"147",1978,"Single",60199,1,2,8,1,7,2,0,0,0
"148",1977,"Together",55375,0,1,42,11,57,10,28,14,0
"149",1955,"Single",80317,0,0,536,11,387,149,91,57,0
"150",1958,"Single",30523,2,1,5,0,3,0,0,5,0
"151",1945,"Married",70356,0,0,1349,16,249,43,16,33,0
"152",1984,"Married",23228,1,0,53,3,49,7,4,5,0
"153",1975,"Divorced",74165,0,0,1001,12,240,16,12,12,0
"154",1973,"Married",157243,0,1,20,2,1582,1,2,1,0
"155",1966,"Together",43482,2,1,18,1,32,6,3,28,0
"156",1953,"Divorced",62551,0,0,125,16,98,134,21,27,0
"157",1959,"Divorced",52332,0,0,212,5,33,7,0,2,0
"158",1988,"Single",66951,0,0,277,162,305,173,76,124,0
"159",1957,"Together",26091,1,1,15,10,19,8,17,20,0
"160",1965,"Together",33456,1,1,7,3,10,8,1,7,0
"161",1982,"Married",28718,1,0,12,4,6,11,8,16,0
"162",1970,"Married",50447,2,0,85,7,24,2,3,27,0
"163",1959,"Together",53537,1,1,81,0,6,0,0,6,0
"164",1967,"Single",52074,0,1,59,0,12,0,0,48,0
"165",1975,"Married",80427,0,1,1149,71,449,69,71,26,0
"166",1948,"Married",83837,0,0,847,66,119,86,89,111,1
"167",1970,"Married",38853,1,1,29,0,14,0,0,2,0
"168",1959,"Together",38285,2,1,2,0,5,2,0,1,0
"169",1951,"Married",78497,0,0,207,26,447,75,0,223,0
"170",1976,"Married",51650,0,1,152,3,22,2,5,7,0
"171",1988,"Married",16248,1,0,12,11,10,3,12,9,0
"172",1946,"Married",66835,0,0,620,26,195,34,17,141,0
"173",1984,"Married",30477,1,0,47,1,6,0,0,12,0
"174",1961,"Married",28249,0,0,1,9,7,2,14,10,0
"175",1983,"Married",25271,1,0,10,1,18,10,4,7,0
"176",1970,"Single",32303,0,1,35,0,2,0,0,2,0
"177",1966,"Married",61286,0,1,356,0,107,19,9,117,0
"178",1976,"Married",74068,0,0,783,30,537,140,76,15,0
"179",1964,"Married",45759,1,1,42,1,18,3,0,4,0
"180",1978,"Together",24882,1,0,1,4,10,29,0,36,0
"181",1989,"Together",66973,0,0,466,22,432,147,113,102,0
"182",1900,"Divorced",36640,1,0,15,6,8,7,4,25,0
"183",1988,"Married",38872,1,0,23,3,21,3,19,22,0
"184",1973,"Married",51148,1,1,235,6,45,8,9,12,0
"185",1977,"Married",31353,1,1,10,0,10,3,1,7,0
"186",1980,"Married",69661,0,0,656,16,106,32,16,8,0
"187",1954,"Married",80067,0,0,519,17,813,27,173,51,0
"188",1954,"Married",86718,0,0,344,189,482,50,33,172,0
"189",1973,"Single",46854,1,1,96,1,79,7,1,79,1
"190",1952,"Divorced",69142,0,1,448,4,34,6,4,39,0
"191",1968,"Single",75922,0,0,265,138,553,224,23,92,0
"192",1978,"Divorced",63693,0,1,587,43,337,42,87,54,0
"193",1977,"Together",102160,0,0,763,29,138,76,176,58,1
"194",1965,"Single",40637,1,1,22,0,13,0,0,3,0
"195",1984,"Single",18890,0,0,6,4,1,7,2,15,1
"196",1988,"Together",29604,1,0,7,6,13,7,6,14,0
"197",1963,"Divorced",48721,1,1,81,18,113,47,13,21,0
"198",1966,"Married",44794,0,1,54,0,7,0,0,4,0
"199",1954,"Divorced",64497,0,1,1170,48,320,42,32,192,1
"200",1956,"Together",46097,0,1,72,24,68,65,4,8,0
"201",1954,"Together",77972,0,0,613,22,319,33,102,12,0
"202",1968,"Married",44377,1,1,224,0,30,0,0,10,0
"203",1974,"Together",46014,1,1,410,0,59,19,9,44,0
"204",1985,"Married",70951,0,0,239,10,554,254,87,54,0
"205",1977,"Married",41443,1,0,171,7,171,25,19,89,0
"206",1978,"Single",52195,2,1,12,0,4,0,0,1,0
"207",1948,"Married",83790,0,0,1076,16,417,42,48,16,0
"208",1954,"Widow",44551,0,1,182,4,33,0,0,66,0
"209",1980,"Together",69508,1,0,824,32,162,42,32,43,0
"210",1988,"Together",45204,1,0,30,11,25,29,1,18,0
"211",1969,"Married",72460,0,0,377,10,540,80,30,10,0
"212",1970,"Together",77622,0,2,520,7,154,19,0,14,0
"213",1980,"Married",30732,1,0,155,1,25,0,1,3,0
"214",1962,"Divorced",63887,0,1,897,23,207,15,11,92,0
"215",1978,"Together",42011,1,0,131,0,16,2,1,39,0
"216",1976,"Together",51369,0,1,297,7,79,0,11,182,0
"217",1952,"Divorced",51537,0,1,787,20,204,0,0,92,0
"218",1972,"Married",79930,0,0,792,86,740,67,51,17,0
"219",1986,"Together",34320,1,0,4,1,9,3,0,0,0
"220",1966,"Single",37070,1,1,231,7,137,4,15,39,1
"221",1962,"Divorced",81975,0,1,983,76,184,180,138,27,0
"222",1971,"Together",38590,1,0,3,1,8,4,3,3,0
"223",1951,"Single",15033,0,0,0,4,5,6,0,4,0
"224",1965,"Married",62745,0,1,562,21,464,28,10,32,0
"225",1975,"Married",22212,1,0,5,9,20,6,8,21,0
"226",1982,"Together",23661,1,0,18,0,4,0,0,1,0
"227",1958,"Single",79761,0,1,415,5,124,15,35,11,0
"228",1973,"Single",7500,1,0,5,3,10,12,7,20,0
"229",1893,"Single",60182,0,1,8,0,5,7,0,2,0
"230",1968,"Widow",73455,0,0,901,61,757,186,163,20,0
"231",1958,"Together",64961,0,1,382,114,276,75,124,38,0
"232",1971,"Single",22804,1,0,14,1,7,2,1,1,0
"233",1990,"Married",73687,0,0,559,153,503,218,13,181,1
"234",1958,"Married",61074,0,1,789,0,133,0,28,152,0
"235",1964,"Married",31686,1,1,11,0,5,0,0,1,0
"236",1972,"Married",80134,1,0,1218,16,272,104,0,80,1
"237",1953,"Married",75027,0,1,925,64,179,133,12,77,0
"238",1988,"Married",67546,0,0,864,134,768,150,38,172,0
"239",1969,"Together",65176,0,1,960,28,183,220,70,70,0
"240",1975,"Single",31160,1,0,16,3,25,6,1,13,0
"241",1985,"Single",29938,1,0,3,3,7,0,2,11,0
"242",1974,"Divorced",102692,0,0,168,148,444,32,172,148,1
"243",1958,"Together",26490,0,0,45,47,52,21,20,25,0
"244",1967,"Together",75702,1,1,650,28,353,45,42,30,0
"245",1974,"Single",30899,1,0,24,0,8,0,0,1,0
"246",1961,"Together",63342,0,1,918,21,118,13,10,21,0
"247",1964,"Single",45989,0,1,138,33,87,28,24,12,0
"248",1964,"Single",18701,1,1,12,4,2,10,6,10,0
"249",1957,"Single",40737,2,1,11,0,4,0,0,2,0
"250",1979,"Divorced",15287,1,0,1,2,8,4,3,13,1
"251",1968,"Divorced",69674,0,2,554,41,215,11,0,24,0
"252",1970,"Married",44159,1,0,167,2,62,24,13,7,0
"253",1978,"Married",37717,1,0,9,0,6,4,1,5,0
"254",1952,"Together",43776,1,1,177,2,71,3,2,20,1
"255",1966,"Married",38179,1,1,38,4,22,4,2,20,0
"256",1963,"Married",80124,0,0,483,84,398,205,84,241,0
"257",1970,"Married",38097,1,1,77,2,35,0,1,69,1
"258",1970,"Married",72940,0,0,182,74,298,162,149,116,0
"259",1970,"Together",22070,1,0,10,7,19,8,2,21,0
"260",1953,"Single",69267,0,0,778,44,499,95,73,146,1
"261",1983,"Single",31788,1,0,16,7,23,0,8,6,0
"262",1975,"Together",61905,0,1,167,0,43,6,2,13,0
"263",1960,"Married",29315,1,1,13,2,14,8,7,4,0
"264",1963,"Divorced",33378,1,1,33,6,40,3,7,10,0
"265",1963,"Together",66313,0,1,625,7,99,10,22,7,0
"266",1956,"Single",60714,0,0,216,162,224,101,92,162,1
"267",1981,"Together",77882,0,0,68,129,396,188,22,15,0
"268",1986,"Single",69867,0,0,196,0,512,33,130,54,1
"269",1968,"Divorced",63841,0,1,635,15,100,20,7,131,0
"270",1981,"Married",24480,1,0,4,19,9,28,25,17,0
"271",1976,"Together",51369,0,1,297,7,79,0,11,182,0
"272",1946,"Together",37760,0,0,84,5,38,150,12,28,0
"273",1974,"Together",65640,0,1,204,7,149,20,15,66,0
"274",1975,"Married",44319,1,1,26,0,8,0,0,3,0
"275",1974,"Married",30631,1,0,15,6,20,4,5,20,0
"276",1952,"Together",75278,0,0,304,98,230,150,74,74,0
"277",1956,"Together",50898,1,1,285,28,242,55,114,135,0
"278",1966,"Widow",79946,0,0,395,183,565,166,141,28,0
"279",1949,"Divorced",35416,0,0,248,3,81,4,3,51,0
"280",1984,"Together",32414,0,0,20,6,5,0,9,12,0
"281",1969,"Together",38361,1,0,39,0,56,20,8,14,0
"282",1980,"Married",82497,0,0,777,129,573,216,21,203,0
"283",1971,"Together",16626,2,0,8,3,22,21,1,13,0
"284",1965,"Together",29672,1,1,9,1,3,0,4,8,0
"285",1952,"Together",55951,0,1,1241,0,80,0,13,40,0
"286",1988,"Divorced",35388,1,0,6,4,7,4,3,8,0
"287",1986,"Together",42386,1,0,65,4,16,0,4,11,0
"288",1982,"Single",68627,0,0,395,15,263,60,54,38,0
"289",1965,"Divorced",57912,0,1,801,0,80,0,0,35,0
"290",1958,"Divorced",35246,1,1,36,0,12,2,2,10,0
"291",1956,"Together",58821,0,1,513,14,154,19,0,28,0
"292",1978,"Married",46377,1,0,37,0,46,4,3,0,0
"293",1988,"Single",39747,1,0,80,15,93,20,13,52,0
"294",1984,"Together",23976,1,0,14,1,21,2,3,25,0
"295",1961,"Married",80950,0,0,525,147,112,219,147,63,0
"296",1966,"Widow",27038,0,0,1,26,25,17,23,15,1
"297",1947,"Single",77457,0,0,675,11,400,15,45,11,0
"298",1964,"Married",64100,0,1,509,0,27,0,0,10,0
"299",1992,"Together",42670,0,0,154,2,46,20,4,15,0
"300",1976,"Divorced",12571,1,0,3,5,14,2,12,17,0
"301",1967,"Married",22574,2,1,25,0,8,2,0,2,0
"302",1976,"Single",70893,0,0,768,44,561,77,44,14,0
"303",1966,"Married",54198,1,1,185,0,28,3,2,17,0
"304",1956,"Together",28839,1,1,24,0,7,0,0,1,0
"305",1972,"Married",40321,1,1,44,4,21,6,0,27,0
"306",1985,"Single",66503,1,0,91,64,128,65,3,50,0
"307",1951,"Married",30833,1,1,11,0,7,3,1,6,0
"308",1971,"Married",64795,0,1,412,5,119,38,29,77,0
"309",1974,"Married",34421,1,0,3,3,7,6,2,9,0
"310",1965,"Divorced",47025,1,1,16,0,3,0,0,1,0
"311",1961,"Divorced",64325,0,1,731,60,353,78,12,73,0
"312",1953,"Single",40464,0,1,424,17,118,7,23,41,0
"313",1957,"Married",62187,0,0,792,0,275,45,45,126,0
"314",1976,"Divorced",14849,1,0,21,2,28,3,2,9,0
"315",1984,"Married",27255,1,0,22,1,11,0,1,2,0
"316",1950,"Married",54432,2,1,33,0,5,0,0,0,0
"317",1986,"Single",29999,1,0,68,7,59,10,5,11,0
"318",1983,"Single",24072,1,0,9,1,6,3,0,4,0
"319",1989,"Single",33996,0,0,40,2,15,8,0,6,0
"320",1956,"Married",66334,0,1,909,11,218,0,0,23,1
"321",1971,"Married",35178,1,0,23,1,13,2,2,18,1
"322",1983,"Together",22010,1,0,11,2,9,3,0,8,0
"323",1960,"Divorced",62204,0,2,317,46,247,151,46,139,0
"324",1968,"Divorced",75693,0,0,797,153,293,72,97,30,1
"325",1972,"Married",30675,1,0,10,2,16,11,2,21,0
"326",1965,"Together",83003,0,0,856,61,570,40,25,122,1
"327",1899,"Together",83532,0,0,755,144,562,104,64,224,0
"328",1988,"Single",68655,0,0,456,19,832,75,118,38,0
"329",1986,"Divorced",41411,0,0,37,32,38,11,3,18,0
"330",1969,"Married",55212,0,1,1103,0,45,0,0,34,0
"331",1950,"Together",59292,0,1,378,14,68,19,14,14,0
"332",1973,"Together",27190,1,0,1,6,7,0,1,3,1
"333",1952,"Divorced",82623,0,0,204,34,204,172,153,173,0
"334",1965,"Married",44300,1,1,30,0,9,0,0,3,0
"335",1970,"Divorced",84835,0,0,189,104,379,111,189,218,1
"336",1971,"Widow",30372,1,1,15,0,12,7,3,7,0
"337",1976,"Married",33181,1,0,9,0,3,0,0,4,0
"338",1957,"Married",71113,0,1,495,33,255,11,33,8,0
"339",1986,"Married",71952,1,0,656,80,455,52,107,93,0
"340",1966,"Single",69759,0,0,452,20,514,13,30,0,1
"341",1974,"Married",72099,0,0,546,91,410,119,0,22,0
"342",1976,"Single",60000,0,1,1048,0,217,0,0,12,0
"343",1978,"Single",38643,1,1,22,2,14,0,1,10,0
"344",1955,"Married",50737,0,1,78,0,11,0,0,10,0
"345",1969,"Married",68462,0,0,561,64,785,84,128,48,0
"346",1943,"Married",65073,0,0,629,17,177,69,0,8,0
"347",1948,"Together",46681,0,2,269,15,69,15,19,38,0
"348",1957,"Married",78618,0,0,736,163,818,212,163,61,0
"349",1969,"Widow",62187,0,1,512,0,83,0,0,41,0
"350",1978,"Married",28442,2,0,19,3,10,11,8,6,0
"351",1978,"Married",37717,1,0,9,0,6,4,1,5,0
"352",1967,"Married",51479,1,1,247,8,160,6,8,65,0
"353",1969,"Single",54803,0,1,404,0,92,28,27,142,0
"354",1960,"Married",79530,0,0,333,0,815,129,42,29,0
"355",1976,"Divorced",31615,1,0,2,3,20,6,11,9,0
"356",1962,"Together",72025,0,0,833,33,549,151,133,233,0
"357",1975,"Single",52614,0,1,789,0,142,12,9,38,0
"358",1984,"Married",35684,1,0,10,4,7,0,6,3,0
"359",1975,"Married",48178,1,1,159,4,45,6,2,38,0
"360",1970,"Single",29548,1,0,7,1,6,3,1,11,0
"361",1966,"Single",63810,0,1,977,12,253,16,12,101,0
"362",1972,"Single",38578,1,1,38,4,22,3,3,3,1
"363",1975,"Single",46098,1,1,57,0,27,0,0,36,0
"364",1970,"Single",22585,0,0,3,9,15,13,2,39,1
"365",1989,"Single",30279,1,0,10,4,14,4,4,1,0
"366",1961,"Together",66426,0,1,1043,24,97,32,24,157,0
"367",1969,"Single",30822,1,0,3,9,13,2,12,12,0
"368",1969,"Married",33581,2,0,11,0,5,0,0,1,0
"369",1985,"Married",19986,1,0,3,6,5,0,2,6,0
"370",1954,"Widow",27421,0,0,43,12,96,78,40,55,0
"371",1973,"Married",35688,2,1,73,3,90,12,1,32,0
"372",1981,"Single",36143,1,0,12,0,1,0,0,6,0
"373",1971,"Single",10245,1,0,4,7,7,6,4,13,0
"374",1968,"Together",43795,0,1,314,11,53,4,3,107,1
"375",1960,"Together",63381,0,1,571,50,142,33,50,159,0
"376",1949,"Together",38823,0,1,70,0,11,2,8,23,0
"377",1968,"Divorced",83664,1,1,866,21,151,28,21,86,0
"378",1979,"Together",90300,0,0,594,134,786,33,134,57,0
"379",1979,"Together",62499,1,0,140,4,61,0,13,4,0
"380",1993,"Single",74293,0,0,375,152,335,93,91,81,0
"381",1946,"Married",51012,0,0,102,9,63,2,9,24,0
"382",1968,"Married",70777,0,1,554,35,113,0,7,78,0
"383",1991,"Together",68682,0,0,919,0,505,99,30,45,0
"384",1971,"Married",43824,1,1,96,1,42,12,3,32,0
"385",1984,"Together",15345,1,0,5,2,16,3,2,19,1
"386",1987,"Single",23442,1,0,2,0,6,8,6,5,0
"387",1980,"Together",14515,1,0,6,4,9,6,36,35,1
"388",1956,"Divorced",31395,1,1,23,1,25,0,8,7,0
"389",1965,"Together",75276,0,0,610,105,125,137,42,21,0
"390",1974,"Single",42373,1,1,67,5,61,3,8,19,0
"391",1960,"Together",30507,0,0,65,36,74,38,20,110,0
"392",1955,"Single",55521,1,2,416,0,26,0,0,4,1
"393",1965,"Married",48006,1,1,23,0,11,3,2,2,0
"394",1972,"Single",27213,1,0,19,3,26,10,9,3,1
"395",1971,"Divorced",65808,1,1,155,7,80,13,7,10,0
"396",1974,"Together",30351,1,0,14,0,24,3,3,2,0
"397",1963,"Married",50437,0,2,370,9,92,6,9,4,0
"398",1982,"Single",23616,1,0,4,22,11,3,7,32,1
"399",1976,"Married",53858,0,1,407,53,221,58,150,26,0
"400",1955,"Married",66465,0,1,1200,0,204,38,29,14,0
"401",1987,"Single",46923,1,0,85,44,54,102,78,6,0
"402",1962,"Together",75072,0,1,583,34,309,0,22,125,0
"403",1943,"Married",75865,0,0,483,0,591,156,0,12,0
"404",1975,"Together",19789,1,0,2,5,9,28,6,28,0
"405",1994,"Together",80134,0,0,966,26,282,52,26,26,0
"406",1981,"Single",91065,0,0,822,114,108,179,137,114,1
"407",1971,"Married",49505,1,1,604,0,100,19,0,28,0
"408",1973,"Married",37401,1,0,19,3,19,3,1,3,0
"409",1983,"Married",30096,1,0,5,3,11,12,5,9,0
"410",1982,"Together",18492,1,0,2,2,2,2,1,1,0
"411",1974,"Married",82584,0,0,1076,68,103,29,91,68,1
"412",1941,"Married",93027,0,0,1285,42,716,55,0,21,0
"413",1953,"Married",48686,1,2,10,0,7,2,0,1,0
"414",1986,"Married",92910,0,0,551,137,792,179,103,33,0
"415",1989,"Married",75433,1,0,800,0,297,0,34,57,0
"416",1989,"Together",10404,1,0,2,2,11,10,6,12,0
"417",1968,"Married",61314,0,1,378,0,189,97,172,172,0
"418",1961,"Single",84865,0,0,1248,16,349,43,16,16,1
"419",1989,"Married",42387,1,0,235,0,235,19,4,191,0
"420",1967,"Together",67309,1,1,515,47,181,149,95,95,0
"421",1964,"Married",75236,0,1,438,66,400,12,38,114,0
"422",1970,"Single",30015,1,0,25,0,22,2,3,5,0
"423",1956,"Together",50943,0,1,31,0,7,2,0,6,0
"424",1966,"Divorced",67272,0,1,357,35,271,28,28,14,0
"425",1949,"Widow",51529,0,1,400,4,35,6,0,22,0
"426",1971,"Married",32011,1,0,99,0,15,2,1,5,0
"427",1986,"Married",7500,1,0,1,11,5,4,6,9,0
"428",1989,"Married",28691,1,0,5,4,13,8,0,4,0
"429",1948,"Married",56223,0,1,77,28,31,16,0,4,0
"430",1946,"Married",18100,0,0,3,1,2,4,3,1,0
"431",1989,"Single",30279,1,0,10,4,14,4,4,1,0
"432",1974,"Married",20130,0,0,0,6,3,7,6,12,0
"433",1959,"Divorced",23295,0,0,0,0,1,2,12,5,0
"434",1972,"Divorced",42618,1,0,76,14,74,13,5,10,0
"435",1964,"Single",81246,0,0,398,190,537,61,156,37,0
"436",1976,"Married",24027,1,0,14,7,11,11,0,5,0
"437",1953,"Married",55707,0,1,208,7,82,30,66,35,0
"438",1955,"Single",57959,0,1,430,16,322,43,24,33,0
"439",1969,"Married",56796,0,1,656,38,161,62,47,37,0
"440",1971,"Single",36230,1,0,14,2,30,8,2,3,0
"441",1980,"Married",70829,1,1,141,70,106,72,19,23,0
"442",1976,"Married",65991,0,1,507,19,364,25,47,9,0
